file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
ms_03_050_002.lp,0,23,0,23,3,0,3,0.8985507246376812,1.0,50.0
ms_03_050_005.lp,0,23,0,23,3,0,3,0.8985507246376812,1.0,50.0
ms_03_050_007.lp,0,23,0,23,3,0,3,0.855072463768116,1.0,50.0
ms_03_050_009.lp,0,23,0,23,3,0,3,0.8695652173913043,1.0,49.0
ms_03_100_001.lp,0,23,0,23,3,0,3,0.8840579710144928,1.0,100.0
ms_03_100_012.lp,0,23,0,23,3,0,3,0.8985507246376812,1.0,99.0
ms_03_100_019.lp,0,23,0,23,3,0,3,0.9130434782608695,1.0,97.0
ms_03_100_022.lp,0,23,0,23,3,0,3,0.9130434782608695,1.0,100.0
ms_03_200_050.lp,0,23,0,23,3,0,3,0.9130434782608695,1.0,198.0
ms_03_200_068.lp,0,23,0,23,3,0,3,0.9130434782608695,1.0,200.0
ms_03_200_161.lp,0,23,0,23,3,0,3,0.8985507246376812,1.0,198.0
ms_03_200_177.lp,0,23,0,23,3,0,3,0.8985507246376812,1.0,200.0
ms_04_050_001.lp,0,34,0,34,4,0,4,0.8897058823529411,1.0,50.0
ms_04_050_003.lp,0,34,0,34,4,0,4,0.9044117647058824,1.0,50.0
ms_04_050_004.lp,0,34,0,34,4,0,4,0.8897058823529411,1.0,50.0
ms_04_050_005.lp,0,34,0,34,4,0,4,0.8970588235294118,1.0,50.0
ms_04_100_003.lp,0,34,0,34,4,0,4,0.9117647058823529,1.0,99.0
ms_04_100_009.lp,0,34,0,34,4,0,4,0.9044117647058824,1.0,100.0
ms_04_100_013.lp,0,34,0,34,4,0,4,0.9044117647058824,1.0,99.0
ms_04_100_015.lp,0,34,0,34,4,0,4,0.9117647058823529,1.0,100.0
ms_04_200_030.lp,0,34,0,34,4,0,4,0.9044117647058824,1.0,196.0
ms_04_200_150.lp,0,34,0,34,4,0,4,0.9044117647058824,1.0,200.0
ms_04_200_174.lp,0,34,0,34,4,0,4,0.9117647058823529,1.0,200.0
ms_04_200_176.lp,0,34,0,34,4,0,4,0.9117647058823529,1.0,198.0
ms_05_050_001.lp,0,45,0,45,5,0,5,0.8933333333333333,1.0,50.0
ms_05_050_002.lp,0,45,0,45,5,0,5,0.8933333333333333,1.0,50.0
ms_05_050_003.lp,0,45,0,45,5,0,5,0.8977777777777778,1.0,50.0
ms_05_050_004.lp,0,45,0,45,5,0,5,0.88,1.0,50.0
ms_05_100_003.lp,0,45,0,45,5,0,5,0.9111111111111111,1.0,100.0
ms_05_100_006.lp,0,45,0,45,5,0,5,0.9066666666666666,1.0,100.0
ms_05_100_013.lp,0,45,0,45,5,0,5,0.9066666666666666,1.0,99.0
ms_05_100_015.lp,0,45,0,45,5,0,5,0.9111111111111111,1.0,100.0
ms_05_200_070.lp,0,45,0,45,5,0,5,0.9111111111111111,1.0,200.0
ms_05_200_095.lp,0,45,0,45,5,0,5,0.9111111111111111,1.0,199.0
ms_05_200_180.lp,0,45,0,45,5,0,5,0.9111111111111111,1.0,200.0
ms_05_200_199.lp,0,45,0,45,5,0,5,0.9066666666666666,1.0,197.0
ms_06_050_001.lp,0,56,0,56,6,0,6,0.8839285714285714,1.0,50.0
ms_06_050_002.lp,0,56,0,56,6,0,6,0.8988095238095238,1.0,50.0
ms_06_050_003.lp,0,56,0,56,6,0,6,0.8988095238095238,1.0,50.0
ms_06_050_004.lp,0,56,0,56,6,0,6,0.8898809523809523,1.0,50.0
ms_06_100_002.lp,0,56,0,56,6,0,6,0.9017857142857143,1.0,100.0
ms_06_100_003.lp,0,56,0,56,6,0,6,0.9107142857142857,1.0,100.0
ms_06_100_005.lp,0,56,0,56,6,0,6,0.8928571428571429,1.0,100.0
ms_06_100_010.lp,0,56,0,56,6,0,6,0.9047619047619048,1.0,100.0
ms_06_200_077.lp,0,56,0,56,6,0,6,0.9017857142857143,1.0,200.0
ms_06_200_104.lp,0,56,0,56,6,0,6,0.9107142857142857,1.0,199.0
ms_06_200_240.lp,0,56,0,56,6,0,6,0.9077380952380952,1.0,200.0
ms_06_200_289.lp,0,56,0,56,6,0,6,0.9077380952380952,1.0,200.0
ms_07_050_001.lp,0,67,0,67,7,0,7,0.8805970149253731,1.0,50.0
ms_07_050_002.lp,0,67,0,67,7,0,7,0.9019189765458422,1.0,50.0
ms_07_050_003.lp,0,67,0,67,7,0,7,0.8997867803837953,1.0,50.0
ms_07_050_004.lp,0,67,0,67,7,0,7,0.8933901918976546,1.0,50.0
ms_07_100_002.lp,0,67,0,67,7,0,7,0.9040511727078892,1.0,100.0
ms_07_100_003.lp,0,67,0,67,7,0,7,0.9104477611940298,1.0,100.0
ms_07_100_005.lp,0,67,0,67,7,0,7,0.8912579957356077,1.0,100.0
ms_07_100_006.lp,0,67,0,67,7,0,7,0.9019189765458422,1.0,100.0
ms_07_200_248.lp,0,67,0,67,7,0,7,0.906183368869936,1.0,200.0
ms_07_200_370.lp,0,67,0,67,7,0,7,0.9040511727078892,1.0,199.0
ms_07_200_398.lp,0,67,0,67,7,0,7,0.908315565031983,1.0,200.0
ms_07_200_500.lp,0,67,0,67,7,0,7,0.9040511727078892,1.0,200.0
ms_08_050_000.lp,0,78,0,78,8,0,8,0.8910256410256411,1.0,48.0
ms_08_050_001.lp,0,78,0,78,8,0,8,0.8894230769230769,1.0,48.0
ms_08_050_002.lp,0,78,0,78,8,0,8,0.8910256410256411,1.0,48.0
ms_08_050_003.lp,0,78,0,78,8,0,8,0.8958333333333334,1.0,48.0
ms_08_100_000.lp,0,78,0,78,8,0,8,0.9038461538461539,1.0,98.0
ms_08_100_001.lp,0,78,0,78,8,0,8,0.8974358974358975,1.0,98.0
ms_08_100_002.lp,0,78,0,78,8,0,8,0.9038461538461539,1.0,98.0
ms_08_100_003.lp,0,78,0,78,8,0,8,0.9022435897435898,1.0,98.0
ms_08_200_000.lp,0,78,0,78,8,0,8,0.907051282051282,1.0,198.0
ms_08_200_001.lp,0,78,0,78,8,0,8,0.907051282051282,1.0,198.0
ms_08_200_002.lp,0,78,0,78,8,0,8,0.907051282051282,1.0,198.0
ms_08_200_003.lp,0,78,0,78,8,0,8,0.9022435897435898,1.0,198.0
ms_09_050_000.lp,0,89,0,89,9,0,9,0.8913857677902621,1.0,48.0
ms_09_050_001.lp,0,89,0,89,9,0,9,0.8901373283395755,1.0,48.0
ms_09_050_002.lp,0,89,0,89,9,0,9,0.8901373283395755,1.0,48.0
ms_09_050_003.lp,0,89,0,89,9,0,9,0.8913857677902621,1.0,48.0
ms_09_100_000.lp,0,89,0,89,9,0,9,0.9026217228464419,1.0,98.0
ms_09_100_001.lp,0,89,0,89,9,0,9,0.8976279650436954,1.0,98.0
ms_09_100_002.lp,0,89,0,89,9,0,9,0.9038701622971286,1.0,98.0
ms_09_100_003.lp,0,89,0,89,9,0,9,0.8976279650436954,1.0,98.0
ms_09_200_000.lp,0,89,0,89,9,0,9,0.9076154806491885,1.0,198.0
ms_09_200_001.lp,0,89,0,89,9,0,9,0.9076154806491885,1.0,198.0
ms_09_200_002.lp,0,89,0,89,9,0,9,0.9076154806491885,1.0,198.0
ms_09_200_003.lp,0,89,0,89,9,0,9,0.9013732833957553,1.0,198.0
ms_10_050_000.lp,0,100,0,100,10,0,10,0.892,1.0,48.0
ms_10_050_001.lp,0,100,0,100,10,0,10,0.888,1.0,48.0
ms_10_050_002.lp,0,100,0,100,10,0,10,0.892,1.0,48.0
ms_10_050_003.lp,0,100,0,100,10,0,10,0.89,1.0,48.0
ms_10_100_000.lp,0,100,0,100,10,0,10,0.902,1.0,98.0
ms_10_100_001.lp,0,100,0,100,10,0,10,0.896,1.0,98.0
ms_10_100_002.lp,0,100,0,100,10,0,10,0.903,1.0,98.0
ms_10_100_003.lp,0,100,0,100,10,0,10,0.898,1.0,98.0
ms_10_200_000.lp,0,100,0,100,10,0,10,0.908,1.0,198.0
ms_10_200_001.lp,0,100,0,100,10,0,10,0.906,1.0,198.0
ms_10_200_002.lp,0,100,0,100,10,0,10,0.908,1.0,198.0
ms_10_200_003.lp,0,100,0,100,10,0,10,0.902,1.0,198.0
ms_11_050_000.lp,0,111,0,111,11,0,11,0.8943488943488943,1.0,48.0
ms_11_050_001.lp,0,111,0,111,11,0,11,0.8902538902538902,1.0,48.0
ms_11_050_002.lp,0,111,0,111,11,0,11,0.8951678951678952,1.0,48.0
ms_11_050_003.lp,0,111,0,111,11,0,11,0.8877968877968878,1.0,48.0
ms_11_100_000.lp,0,111,0,111,11,0,11,0.9009009009009009,1.0,98.0
ms_11_100_001.lp,0,111,0,111,11,0,11,0.8968058968058968,1.0,98.0
ms_11_100_002.lp,0,111,0,111,11,0,11,0.9041769041769042,1.0,98.0
ms_11_100_003.lp,0,111,0,111,11,0,11,0.8968058968058968,1.0,98.0
ms_11_200_000.lp,0,111,0,111,11,0,11,0.9058149058149059,1.0,198.0
ms_11_200_001.lp,0,111,0,111,11,0,11,0.9058149058149059,1.0,198.0
ms_11_200_002.lp,0,111,0,111,11,0,11,0.9082719082719083,1.0,198.0
ms_11_200_003.lp,0,111,0,111,11,0,11,0.9017199017199017,1.0,198.0
ms_12_050_000.lp,0,122,0,122,12,0,12,0.89275956284153,1.0,48.0
ms_12_050_001.lp,0,122,0,122,12,0,12,0.889344262295082,1.0,48.0
ms_12_050_002.lp,0,122,0,122,12,0,12,0.8934426229508197,1.0,48.0
ms_12_050_003.lp,0,122,0,122,12,0,12,0.8872950819672131,1.0,48.0
ms_12_100_000.lp,0,122,0,122,12,0,12,0.9009562841530054,1.0,98.0
ms_12_100_001.lp,0,122,0,122,12,0,12,0.8961748633879781,1.0,98.0
ms_12_100_002.lp,0,122,0,122,12,0,12,0.9030054644808743,1.0,98.0
ms_12_100_003.lp,0,122,0,122,12,0,12,0.8968579234972678,1.0,98.0
ms_12_200_000.lp,0,122,0,122,12,0,12,0.9064207650273224,1.0,198.0
ms_12_200_001.lp,0,122,0,122,12,0,12,0.9050546448087432,1.0,198.0
ms_12_200_002.lp,0,122,0,122,12,0,12,0.9064207650273224,1.0,198.0
ms_12_200_003.lp,0,122,0,122,12,0,12,0.9016393442622951,1.0,198.0
ms_13_050_000.lp,0,133,0,133,13,0,13,0.8930017351069983,1.0,48.0
ms_13_050_001.lp,0,133,0,133,13,0,13,0.8901098901098901,1.0,48.0
ms_13_050_002.lp,0,133,0,133,13,0,13,0.8912666281087334,1.0,48.0
ms_13_050_003.lp,0,133,0,133,13,0,13,0.8889531521110469,1.0,48.0
ms_13_100_000.lp,0,133,0,133,13,0,13,0.9005205320994795,1.0,98.0
ms_13_100_001.lp,0,133,0,133,13,0,13,0.8976286871023713,1.0,98.0
ms_13_100_002.lp,0,133,0,133,13,0,13,0.9022556390977443,1.0,98.0
ms_13_100_003.lp,0,133,0,133,13,0,13,0.898207056101793,1.0,98.0
ms_13_200_000.lp,0,133,0,133,13,0,13,0.9057258530942741,1.0,198.0
ms_13_200_001.lp,0,133,0,133,13,0,13,0.9057258530942741,1.0,198.0
ms_13_200_002.lp,0,133,0,133,13,0,13,0.9057258530942741,1.0,198.0
ms_13_200_003.lp,0,133,0,133,13,0,13,0.9022556390977443,1.0,198.0
ms_14_050_000.lp,0,144,0,144,14,0,14,0.8923611111111112,1.0,48.0
ms_14_050_001.lp,0,144,0,144,14,0,14,0.8898809523809523,1.0,48.0
ms_14_050_002.lp,0,144,0,144,14,0,14,0.8898809523809523,1.0,48.0
ms_14_050_003.lp,0,144,0,144,14,0,14,0.8903769841269841,1.0,48.0
ms_14_100_000.lp,0,144,0,144,14,0,14,0.9002976190476191,1.0,98.0
ms_14_100_001.lp,0,144,0,144,14,0,14,0.8988095238095238,1.0,98.0
ms_14_100_002.lp,0,144,0,144,14,0,14,0.9007936507936508,1.0,98.0
ms_14_100_003.lp,0,144,0,144,14,0,14,0.8988095238095238,1.0,98.0
ms_14_200_000.lp,0,144,0,144,14,0,14,0.9047619047619048,1.0,198.0
ms_14_200_001.lp,0,144,0,144,14,0,14,0.9057539682539683,1.0,198.0
ms_14_200_002.lp,0,144,0,144,14,0,14,0.904265873015873,1.0,198.0
ms_14_200_003.lp,0,144,0,144,14,0,14,0.9027777777777778,1.0,198.0
ms_15_050_000.lp,0,155,0,155,15,0,15,0.8929032258064517,1.0,48.0
ms_15_050_001.lp,0,155,0,155,15,0,15,0.8911827956989248,1.0,48.0
ms_15_050_002.lp,0,155,0,155,15,0,15,0.8894623655913978,1.0,48.0
ms_15_050_003.lp,0,155,0,155,15,0,15,0.8894623655913978,1.0,48.0
ms_15_100_000.lp,0,155,0,155,15,0,15,0.9010752688172043,1.0,98.0
ms_15_100_001.lp,0,155,0,155,15,0,15,0.8997849462365591,1.0,98.0
ms_15_100_002.lp,0,155,0,155,15,0,15,0.8993548387096775,1.0,98.0
ms_15_100_003.lp,0,155,0,155,15,0,15,0.8976344086021505,1.0,98.0
ms_15_200_000.lp,0,155,0,155,15,0,15,0.9049462365591397,1.0,198.0
ms_15_200_001.lp,0,155,0,155,15,0,15,0.9058064516129032,1.0,198.0
ms_15_200_002.lp,0,155,0,155,15,0,15,0.9027956989247312,1.0,198.0
ms_15_200_003.lp,0,155,0,155,15,0,15,0.9027956989247312,1.0,198.0
