file,num_variables,density,min_coeff,max_coeff
ms_03_050_002.qs,116,0.542587680518715,-87296.0,4.61168508856697e+18
ms_03_050_005.qs,116,0.542587680518715,-80640.0,4.61168493824311e+18
ms_03_050_007.qs,116,0.5282935455349248,-55552.0,4.61168518305625e+18
ms_03_050_009.qs,116,0.53315649867374,-44288.0,4.61168510574684e+18
ms_03_100_001.qs,116,0.5378720895962276,-312832.0,4.61168419950874e+18
ms_03_100_012.qs,116,0.542587680518715,-289280.0,4.61168437989736e+18
ms_03_100_019.qs,116,0.5473032714412025,-274944.0,4.61168388168116e+18
ms_03_100_022.qs,116,0.5473032714412025,-304640.0,4.6116843756024e+18
ms_03_200_050.qs,116,0.5473032714412025,-1319936.0,4.61168243427718e+18
ms_03_200_068.qs,116,0.5473032714412025,-1324032.0,4.61168261037084e+18
ms_03_200_161.qs,116,0.542587680518715,-1152000.0,4.61168218946404e+18
ms_03_200_177.qs,116,0.542587680518715,-1080320.0,4.61168224529862e+18
ms_04_050_001.qs,158,0.5032242655839503,-182784.0,4.61168452163129e+18
ms_04_050_003.qs,158,0.5083194013215508,-134656.0,4.61168454310612e+18
ms_04_050_004.qs,158,0.5032242655839503,-119552.0,4.61168471490481e+18
ms_04_050_005.qs,158,0.5057718334527506,-147968.0,4.61168456458096e+18
ms_04_100_003.qs,158,0.5108669691903511,-533504.0,4.61168305704744e+18
ms_04_100_009.qs,158,0.5083194013215508,-701440.0,4.61168345218443e+18
ms_04_100_013.qs,158,0.5083194013215508,-799744.0,4.6116830098028e+18
ms_04_100_015.qs,158,0.5108669691903511,-572416.0,4.61168338346495e+18
ms_04_200_030.qs,158,0.5083194013215508,-2340864.0,4.61168026961366e+18
ms_04_200_150.qs,158,0.5083194013215508,-2713600.0,4.61167936337556e+18
ms_04_200_174.qs,158,0.5108669691903511,-2081792.0,4.61168087949902e+18
ms_04_200_176.qs,158,0.5108669691903511,-2275328.0,4.61168017941935e+18
ms_05_050_001.qs,200,0.4841791044776119,-337408.0,4.61168401482514e+18
ms_05_050_002.qs,200,0.4841791044776119,-287232.0,4.61168404488992e+18
ms_05_050_003.qs,200,0.48577114427860696,-265728.0,4.61168404918488e+18
ms_05_050_004.qs,200,0.47940298507462686,-246272.0,4.61168414796913e+18
ms_05_100_003.qs,200,0.490547263681592,-1053696.0,4.61168206920496e+18
ms_05_100_006.qs,200,0.48895522388059703,-1211392.0,4.61168235696777e+18
ms_05_100_013.qs,200,0.48895522388059703,-1422336.0,4.61168211215463e+18
ms_05_100_015.qs,200,0.490547263681592,-1090560.0,4.61168261466581e+18
ms_05_200_070.qs,200,0.490547263681592,-5027840.0,4.61167808777028e+18
ms_05_200_095.qs,200,0.490547263681592,-4999168.0,4.61167928606615e+18
ms_05_200_180.qs,200,0.490547263681592,-4614144.0,4.61167841418779e+18
ms_05_200_199.qs,200,0.48895522388059703,-3921920.0,4.61167890810903e+18
ms_06_050_001.qs,242,0.46780940720334657,-438784.0,4.61168338346495e+18
ms_06_050_002.qs,242,0.4732510288065844,-471552.0,4.61168376142207e+18
ms_06_050_003.qs,242,0.4732510288065844,-454144.0,4.61168355096868e+18
ms_06_050_004.qs,242,0.4699860558446417,-427520.0,4.61168383873149e+18
ms_06_100_002.qs,242,0.4743393531272319,-1885184.0,4.61168150656424e+18
ms_06_100_003.qs,242,0.4776043260891746,-1813504.0,4.61168106847758e+18
ms_06_100_005.qs,242,0.47107438016528924,-1629184.0,4.61168140348503e+18
ms_06_100_010.qs,242,0.47542767744787945,-1676288.0,4.61168127034104e+18
ms_06_200_077.qs,242,0.4743393531272319,-6834176.0,4.61167650722231e+18
ms_06_200_104.qs,242,0.4776043260891746,-7407616.0,4.61167651151728e+18
ms_06_200_240.qs,242,0.47651600176852704,-7047168.0,4.61167573842316e+18
ms_06_200_289.qs,242,0.47651600176852704,-7489536.0,4.61167635260349e+18
