file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
ms_03_050_002.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,8790.0
ms_03_050_005.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,9238.0
ms_03_050_007.lp,0,20,2,22,0,1,1,0.7636363636363637,-1.0,7856.0
ms_03_050_009.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,7376.0
ms_03_100_001.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,35820.0
ms_03_100_012.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,32806.0
ms_03_100_019.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,32460.0
ms_03_100_022.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,32702.0
ms_03_200_050.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,171356.0
ms_03_200_068.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,116212.0
ms_03_200_161.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,161790.0
ms_03_200_177.lp,0,20,2,22,0,1,1,0.7672727272727272,-1.0,131848.0
ms_04_050_001.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,12872.0
ms_04_050_003.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,11650.0
ms_04_050_004.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,9660.0
ms_04_050_005.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,12726.0
ms_04_100_003.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,46642.0
ms_04_100_009.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,42766.0
ms_04_100_013.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,54870.0
ms_04_100_015.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,44900.0
ms_04_200_030.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,195744.0
ms_04_200_150.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,191732.0
ms_04_200_174.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,197906.0
ms_04_200_176.lp,0,30,2,32,0,1,1,0.8321428571428572,-1.0,190792.0
ms_05_050_001.lp,0,40,2,42,0,1,1,0.8687830687830688,-1.0,13636.0
ms_05_050_002.lp,0,40,2,42,0,1,1,0.8687830687830688,-1.0,15442.0
ms_05_050_003.lp,0,40,2,42,0,1,1,0.8687830687830688,-1.0,15496.0
ms_05_050_004.lp,0,40,2,42,0,1,1,0.8687830687830688,-1.0,13126.0
