file,num_variables,density,min_coeff,max_coeff
ms_03_050_002.qs,20,1.0,-56477.0,4395.0
ms_03_050_005.qs,20,1.0,-61732.0,4619.0
ms_03_050_007.qs,20,0.9952380952380953,-48122.0,3928.0
ms_03_050_009.qs,20,1.0,-42120.0,3688.0
ms_03_100_001.qs,20,1.0,-216707.0,17910.0
ms_03_100_012.qs,20,1.0,-196284.0,16403.0
ms_03_100_019.qs,20,1.0,-205247.0,16230.0
ms_03_100_022.qs,20,1.0,-212165.0,16351.0
ms_03_200_050.qs,20,1.0,-990716.0,85678.0
ms_03_200_068.qs,20,1.0,-751525.0,58106.0
ms_03_200_161.qs,20,1.0,-915219.0,80895.0
ms_03_200_177.qs,20,1.0,-844136.0,65924.0
ms_04_050_001.qs,30,1.0,-124592.0,6436.0
ms_04_050_003.qs,30,1.0,-115618.0,5825.0
ms_04_050_004.qs,30,1.0,-83477.0,4830.0
ms_04_050_005.qs,30,1.0,-116984.0,6363.0
ms_04_100_003.qs,30,1.0,-461009.0,23321.0
ms_04_100_009.qs,30,1.0,-400960.0,21383.0
ms_04_100_013.qs,30,1.0,-554470.0,27435.0
ms_04_100_015.qs,30,1.0,-373187.0,22450.0
ms_04_200_030.qs,30,1.0,-1825230.0,97872.0
ms_04_200_150.qs,30,1.0,-1866519.0,95866.0
ms_04_200_174.qs,30,1.0,-1715433.0,98953.0
ms_04_200_176.qs,30,1.0,-1726344.0,95396.0
ms_05_050_001.qs,40,1.0,-177696.0,6818.0
ms_05_050_002.qs,40,1.0,-198556.0,7721.0
ms_05_050_003.qs,40,1.0,-188933.0,7748.0
ms_05_050_004.qs,40,1.0,-158939.0,6563.0
ms_05_100_003.qs,40,1.0,-753135.0,30937.0
ms_05_100_006.qs,40,1.0,-752778.0,29085.0
ms_05_100_013.qs,40,1.0,-775814.0,29735.0
ms_05_100_015.qs,40,1.0,-707191.0,32095.0
ms_05_200_070.qs,40,1.0,-3000597.0,122638.0
ms_05_200_095.qs,40,1.0,-2817416.0,114583.0
ms_05_200_180.qs,40,1.0,-3416615.0,140798.0
ms_05_200_199.qs,40,1.0,-2630499.0,110944.0
ms_06_050_001.qs,50,1.0,-277736.0,8148.0
ms_06_050_002.qs,50,1.0,-294215.0,8783.0
ms_06_050_003.qs,50,1.0,-276362.0,8072.0
ms_06_050_004.qs,50,1.0,-271947.0,9087.0
ms_06_100_002.qs,50,1.0,-1175644.0,34930.0
ms_06_100_003.qs,50,1.0,-1104204.0,32294.0
ms_06_100_005.qs,50,1.0,-1127642.0,35778.0
ms_06_100_010.qs,50,1.0,-1114723.0,33003.0
ms_06_200_077.qs,50,1.0,-4213957.0,128584.0
ms_06_200_104.qs,50,1.0,-4035031.0,128618.0
ms_06_200_240.qs,50,1.0,-5197358.0,172416.0
ms_06_200_289.qs,50,1.0,-4232918.0,126890.0
ms_07_050_001.qs,60,1.0,-376100.0,9470.0
ms_07_050_002.qs,60,1.0,-394496.0,9527.0
ms_07_050_003.qs,60,1.0,-388413.0,10012.0
ms_07_050_004.qs,60,1.0,-437906.0,10972.0
ms_07_100_002.qs,60,1.0,-1566106.0,37765.0
ms_07_100_003.qs,60,1.0,-1544423.0,39575.0
ms_07_100_005.qs,60,1.0,-1623670.0,40253.0
ms_07_100_006.qs,60,1.0,-1648985.0,42142.0
ms_07_200_248.qs,60,1.0,-5003305.0,119800.0
ms_07_200_370.qs,60,1.0,-6868961.0,181016.0
ms_07_200_398.qs,60,1.0,-6715904.0,160482.0
ms_07_200_500.qs,60,1.0,-6283742.0,139989.0
ms_08_050_000.qs,70,1.0,-408962.0,8437.0
ms_08_050_001.qs,70,1.0,-454621.0,9550.0
ms_08_050_002.qs,70,1.0,-497353.0,11144.0
ms_08_050_003.qs,70,1.0,-449277.0,9660.0
ms_08_100_000.qs,70,1.0,-1787736.0,35428.0
ms_08_100_001.qs,70,1.0,-1888629.0,42326.0
ms_08_100_002.qs,70,1.0,-2068295.0,46219.0
ms_08_100_003.qs,70,1.0,-1906141.0,40569.0
ms_08_200_000.qs,70,1.0,-6757892.0,140622.0
ms_08_200_001.qs,70,1.0,-7691091.0,160420.0
ms_08_200_002.qs,70,1.0,-8420675.0,187962.0
ms_08_200_003.qs,70,1.0,-8886777.0,182902.0
ms_09_050_000.qs,80,1.0,-548204.0,10120.0
ms_09_050_001.qs,80,1.0,-545457.0,9968.0
ms_09_050_002.qs,80,1.0,-613771.0,11122.0
ms_09_050_003.qs,80,1.0,-691429.0,13277.0
ms_09_100_000.qs,80,1.0,-2279843.0,42188.0
ms_09_100_001.qs,80,1.0,-2118240.0,40381.0
ms_09_100_002.qs,80,1.0,-2552272.0,47720.0
ms_09_100_003.qs,80,1.0,-2874007.0,55081.0
ms_09_200_000.qs,80,1.0,-9295109.0,166778.0
ms_09_200_001.qs,80,1.0,-9263019.0,175789.0
ms_09_200_002.qs,80,1.0,-10371709.0,192973.0
ms_09_200_003.qs,80,1.0,-11700698.0,209963.0
ms_10_050_000.qs,90,1.0,-702604.0,11397.0
ms_10_050_001.qs,90,1.0,-676491.0,10526.0
ms_10_050_002.qs,90,1.0,-733327.0,11675.0
ms_10_050_003.qs,90,1.0,-784213.0,12591.0
ms_10_100_000.qs,90,1.0,-2904086.0,47080.0
ms_10_100_001.qs,90,1.0,-2880367.0,47758.0
ms_10_100_002.qs,90,1.0,-2855671.0,45914.0
ms_10_100_003.qs,90,1.0,-3117615.0,51353.0
ms_10_200_000.qs,90,1.0,-11836676.0,191768.0
ms_10_200_001.qs,90,1.0,-11719734.0,182201.0
ms_10_200_002.qs,90,1.0,-11641749.0,186473.0
ms_10_200_003.qs,90,1.0,-13221272.0,208609.0
ms_11_050_000.qs,100,1.0,-852478.0,12128.0
ms_11_050_001.qs,100,1.0,-882895.0,13300.0
ms_11_050_002.qs,100,1.0,-910288.0,12380.0
ms_11_050_003.qs,100,1.0,-919061.0,13421.0
ms_11_100_000.qs,100,1.0,-3553235.0,50334.0
ms_11_100_001.qs,100,1.0,-3558218.0,52708.0
ms_11_100_002.qs,100,1.0,-3608680.0,51537.0
ms_11_100_003.qs,100,1.0,-3812590.0,57527.0
ms_11_200_000.qs,100,1.0,-14469594.0,206865.0
ms_11_200_001.qs,100,1.0,-14941744.0,224033.0
ms_11_200_002.qs,100,1.0,-14386308.0,208824.0
ms_11_200_003.qs,100,1.0,-15536316.0,225505.0
ms_12_050_000.qs,110,1.0,-1114858.0,16666.0
ms_12_050_001.qs,110,1.0,-1013618.0,12562.0
ms_12_050_002.qs,110,1.0,-1138384.0,15749.0
ms_12_050_003.qs,110,1.0,-1143157.0,15155.0
ms_12_100_000.qs,110,1.0,-4636838.0,68951.0
ms_12_100_001.qs,110,1.0,-4122876.0,51986.0
ms_12_100_002.qs,110,1.0,-4734570.0,65238.0
ms_12_100_003.qs,110,1.0,-4569284.0,60434.0
ms_12_200_000.qs,110,1.0,-18838692.0,279471.0
ms_12_200_001.qs,110,1.0,-16832836.0,211855.0
ms_12_200_002.qs,110,1.0,-19332757.0,265851.0
ms_12_200_003.qs,110,1.0,-18619039.0,252404.0
ms_13_050_000.qs,120,1.0,-1186664.0,13780.0
ms_13_050_001.qs,120,1.0,-1147388.0,13337.0
ms_13_050_002.qs,120,1.0,-1164404.0,13683.0
ms_13_050_003.qs,120,1.0,-1317528.0,14720.0
ms_13_100_000.qs,120,1.0,-4950040.0,57227.0
ms_13_100_001.qs,120,1.0,-4774509.0,53687.0
ms_13_100_002.qs,120,1.0,-5101367.0,56986.0
ms_13_100_003.qs,120,1.0,-5044886.0,58688.0
ms_13_200_000.qs,120,1.0,-20207796.0,229635.0
ms_13_200_001.qs,120,1.0,-19054350.0,218586.0
ms_13_200_002.qs,120,1.0,-19871306.0,225453.0
ms_13_200_003.qs,120,1.0,-22301236.0,253135.0
ms_14_050_000.qs,130,1.0,-1431553.0,15743.0
ms_14_050_001.qs,130,1.0,-1492983.0,17553.0
ms_14_050_002.qs,130,1.0,-1477607.0,15422.0
ms_14_050_003.qs,130,1.0,-1420283.0,15324.0
ms_14_100_000.qs,130,1.0,-5519859.0,57589.0
ms_14_100_001.qs,130,1.0,-6061154.0,67007.0
ms_14_100_002.qs,130,1.0,-6124885.0,63629.0
ms_14_100_003.qs,130,1.0,-5982268.0,60730.0
ms_14_200_000.qs,130,1.0,-23748542.0,252795.0
ms_14_200_001.qs,130,1.0,-23362380.0,257390.0
ms_14_200_002.qs,130,1.0,-24934250.0,260925.0
ms_14_200_003.qs,130,1.0,-23756114.0,258142.0
ms_15_050_000.qs,140,1.0,-1558923.0,14823.0
ms_15_050_001.qs,140,1.0,-1575739.0,16023.0
ms_15_050_002.qs,140,1.0,-1734753.0,18434.0
ms_15_050_003.qs,140,1.0,-1725650.0,17495.0
ms_15_100_000.qs,140,1.0,-6478505.0,65699.0
ms_15_100_001.qs,140,1.0,-6574107.0,66755.0
ms_15_100_002.qs,140,1.0,-7211321.0,70408.0
ms_15_100_003.qs,140,1.0,-7186508.0,72654.0
ms_15_200_000.qs,140,1.0,-28111064.0,267264.0
ms_15_200_001.qs,140,1.0,-26399160.0,268922.0
ms_15_200_002.qs,140,1.0,-29347655.0,284396.0
ms_15_200_003.qs,140,1.0,-29563936.0,295650.0
