file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
labs002.lp,0,3,2,5,0,1,1,0.35,-20016.0,10008.0
labs003.lp,0,6,2,8,0,1,1,0.4318181818181818,-20032.0,10016.0
labs004.lp,0,10,2,12,0,1,1,0.4777777777777778,-20032.0,10040.0
labs005.lp,0,15,2,17,0,1,1,0.4764705882352941,-20032.0,10048.0
labs006.lp,0,21,2,23,0,1,1,0.46488294314381273,-20032.0,10072.0
labs007.lp,0,28,2,30,0,1,1,0.4404040404040404,-20032.0,10080.0
labs008.lp,0,36,2,38,0,1,1,0.417201540436457,-20032.0,10104.0
labs009.lp,0,45,2,47,0,1,1,0.39148936170212767,-20032.0,10112.0
labs010.lp,0,55,2,57,0,1,1,0.3690058479532164,-20032.0,10136.0
labs011.lp,0,66,2,68,0,1,1,0.3467274233637117,-20032.0,10144.0
labs012.lp,0,78,2,80,0,1,1,0.32740963855421684,-20032.0,10168.0
labs013.lp,0,91,2,93,0,1,1,0.308915770609319,-20032.0,10176.0
labs014.lp,0,105,2,107,0,1,1,0.2927782497875956,-20032.0,10200.0
labs015.lp,0,120,2,122,0,1,1,0.2775081967213115,-20032.0,10208.0
labs016.lp,0,136,2,138,0,1,1,0.26405591530475897,-20032.0,10232.0
labs017.lp,0,153,2,155,0,1,1,0.2513679052674561,-20032.0,10240.0
labs018.lp,0,171,2,173,0,1,1,0.24008145034156594,-20032.0,10264.0
labs019.lp,0,190,2,192,0,1,1,0.22943376068376067,-20032.0,10272.0
labs020.lp,0,210,2,212,0,1,1,0.21987713909609477,-20032.0,10296.0
labs021.lp,0,231,2,233,0,1,1,0.21084600276423948,-20032.0,10304.0
labs022.lp,0,253,2,255,0,1,1,0.2026751785985712,-20032.0,10328.0
labs023.lp,0,276,2,278,0,1,1,0.19493586625361634,-20032.0,10336.0
labs024.lp,0,300,2,302,0,1,1,0.18788405167734232,-20032.0,10360.0
labs025.lp,0,325,2,327,0,1,1,0.1811880270595867,-20032.0,10368.0
labs026.lp,0,351,2,353,0,1,1,0.17504854059903874,-20032.0,10392.0
labs027.lp,0,378,2,380,0,1,1,0.16920434244881133,-20032.0,10400.0
labs028.lp,0,406,2,408,0,1,1,0.16381613472639664,-20032.0,10424.0
labs029.lp,0,435,2,437,0,1,1,0.15867484917828167,-20032.0,10432.0
labs030.lp,0,465,2,467,0,1,1,0.15391133992437014,-20032.0,10456.0
labs031.lp,0,496,2,498,0,1,1,0.14935590666057444,-20032.0,10464.0
labs032.lp,0,528,2,530,0,1,1,0.14511664129703705,-20032.0,10488.0
labs033.lp,0,561,2,563,0,1,1,0.14105404540290845,-20032.0,10496.0
labs034.lp,0,595,2,597,0,1,1,0.13725851479620324,-20032.0,10520.0
labs035.lp,0,630,2,632,0,1,1,0.13361407355726104,-20032.0,10528.0
labs036.lp,0,666,2,668,0,1,1,0.13019713181684323,-20032.0,10552.0
labs037.lp,0,703,2,705,0,1,1,0.12691028569138918,-20032.0,10560.0
labs038.lp,0,741,2,743,0,1,1,0.12381873355969387,-20032.0,10584.0
labs039.lp,0,780,2,782,0,1,1,0.12083991724632251,-20032.0,10592.0
labs040.lp,0,820,2,822,0,1,1,0.11802993438029935,-20032.0,10616.0
labs041.lp,0,861,2,863,0,1,1,0.11531822767669578,-20032.0,10624.0
labs042.lp,0,903,2,905,0,1,1,0.11275342565775062,-20032.0,10648.0
labs043.lp,0,946,2,948,0,1,1,0.110274771836885,-20032.0,10656.0
labs044.lp,0,990,2,992,0,1,1,0.10792470416599124,-20032.0,10680.0
labs045.lp,0,1035,2,1037,0,1,1,0.10565054521177954,-20032.0,10688.0
labs046.lp,0,1081,2,1083,0,1,1,0.10348955649762188,-20032.0,10712.0
labs047.lp,0,1128,2,1130,0,1,1,0.10139577751915582,-20032.0,10720.0
labs048.lp,0,1176,2,1178,0,1,1,0.09940210664324355,-20032.0,10744.0
labs049.lp,0,1225,2,1227,0,1,1,0.09746821184593264,-20032.0,10752.0
labs050.lp,0,1275,2,1277,0,1,1,0.09562328700078308,-20032.0,10776.0
labs051.lp,0,1326,2,1328,0,1,1,0.09383175074452581,-20032.0,10784.0
labs052.lp,0,1378,2,1380,0,1,1,0.09211963071248179,-20032.0,10808.0
labs053.lp,0,1431,2,1433,0,1,1,0.09045538218708633,-20032.0,10816.0
