file,num_variables,density,min_coeff,max_coeff
labs002.qs,3,0.6666666666666666,-10008.0,30024.0
labs003.qs,6,0.8095238095238095,-10016.0,30032.0
labs004.qs,10,0.7636363636363637,-10016.0,30040.0
labs005.qs,15,0.6666666666666666,-10016.0,30048.0
labs006.qs,21,0.5974025974025974,-10016.0,30056.0
labs007.qs,28,0.5344827586206896,-10016.0,30064.0
labs008.qs,36,0.4864864864864865,-10016.0,30072.0
labs009.qs,45,0.4434782608695652,-10016.0,30080.0
labs010.qs,55,0.4090909090909091,-10016.0,30088.0
labs011.qs,66,0.3781094527363184,-10016.0,30096.0
labs012.qs,78,0.3524829600778968,-10016.0,30104.0
labs013.qs,91,0.32919254658385094,-10016.0,30112.0
labs014.qs,105,0.30943396226415093,-10016.0,30120.0
labs015.qs,120,0.29132231404958675,-10016.0,30128.0
labs016.qs,136,0.2756547874624302,-10016.0,30136.0
labs017.qs,153,0.2611832611832612,-10016.0,30144.0
labs018.qs,171,0.2484700122399021,-10016.0,30152.0
labs019.qs,190,0.23664921465968586,-10016.0,30160.0
labs020.qs,210,0.22613405551794177,-10016.0,30168.0
labs021.qs,231,0.21630094043887146,-10016.0,30176.0
labs022.qs,253,0.2074631975350907,-10016.0,30184.0
labs023.qs,276,0.19915764139590855,-10016.0,30192.0
labs024.qs,300,0.19162790697674417,-10016.0,30200.0
labs025.qs,325,0.18452100047192072,-10016.0,30208.0
labs026.qs,351,0.17803030303030304,-10016.0,30216.0
labs027.qs,378,0.17188088955898984,-10016.0,30224.0
labs028.qs,406,0.16622892484961452,-10016.0,30232.0
labs029.qs,435,0.16085626911314985,-10016.0,30240.0
labs030.qs,465,0.15589090405648623,-10016.0,30248.0
labs031.qs,496,0.1511569416498994,-10016.0,30256.0
labs032.qs,528,0.14676061178896718,-10016.0,30264.0
labs033.qs,561,0.14255809085199916,-10016.0,30272.0
labs034.qs,595,0.1386385426653883,-10016.0,30280.0
labs035.qs,630,0.134882901919352,-10016.0,30288.0
labs036.qs,666,0.1313667490579035,-10016.0,30296.0
labs037.qs,703,0.12799043062200957,-10016.0,30304.0
labs038.qs,741,0.12481857764876633,-10016.0,30312.0
labs039.qs,780,0.12176696542893727,-10016.0,30320.0
labs040.qs,820,0.11889129853539705,-10016.0,30328.0
labs041.qs,861,0.11611976577173792,-10016.0,30336.0
labs042.qs,903,0.11350072031282157,-10016.0,30344.0
labs043.qs,946,0.1109724488816358,-10016.0,30352.0
labs044.qs,990,0.10857719475277497,-10016.0,30360.0
labs045.qs,1035,0.10626154104414974,-10016.0,30368.0
labs046.qs,1081,0.10406261061076807,-10016.0,30376.0
labs047.qs,1128,0.10193386477708886,-10016.0,30384.0
labs048.qs,1176,0.09990810257832955,-10016.0,30392.0
labs049.qs,1225,0.09794453507340946,-10016.0,30400.0
labs050.qs,1275,0.09607228471325835,-10016.0,30408.0
labs051.qs,1326,0.09425540548374008,-10016.0,30416.0
labs052.qs,1378,0.09251987357532804,-10016.0,30424.0
labs053.qs,1431,0.09083385061038693,-10016.0,30432.0
labs054.qs,1485,0.08922060442921816,-10016.0,30440.0
labs055.qs,1540,0.08765180309631965,-10016.0,30448.0
labs056.qs,1596,0.08614837029957487,-10016.0,30456.0
labs057.qs,1653,0.08468498519784848,-10016.0,30464.0
labs058.qs,1711,0.0832805322350705,-10016.0,30472.0
labs059.qs,1770,0.08191229060794278,-10016.0,30480.0
labs060.qs,1830,0.08059736236581282,-10092.0,30488.0
labs061.qs,1891,0.07931528336629612,-10444.0,30496.0
labs062.qs,1953,0.07808159087585904,-10800.0,30504.0
labs063.qs,2016,0.07687778879524046,-11164.0,30512.0
