file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
bhD-4-001.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-002.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-003.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-004.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-005.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-006.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-007.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-008.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-009.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-010.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-011.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-012.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-013.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-014.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-015.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-016.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-017.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-018.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-019.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-020.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-4-021.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
