file,num_variables,density,min_coeff,max_coeff
bhS-6-001.qs,20880,0.2341577642767142,-87976304640.0,72100000001.0
bhS-6-002.qs,20880,0.2341577642767142,-152480448512.0,72100000001.0
bhS-6-003.qs,20880,0.2341577642767142,-97231683584.0,72100000001.0
bhS-6-004.qs,20880,0.2341577642767142,-106008641536.0,72100000001.0
bhS-6-005.qs,20880,0.23415775051509732,-95985426432.0,72100000001.0
bhS-6-006.qs,20880,0.2341577642767142,-120892850176.0,72100000001.0
bhS-6-007.qs,20880,0.2341577642767142,-78047592448.0,72100000001.0
bhS-6-008.qs,20880,0.2341577642767142,-163478224896.0,72100000001.0
bhS-6-009.qs,20880,0.2341577642767142,-122280861696.0,72100000001.0
bhS-6-010.qs,20880,0.2341577642767142,-99417063424.0,72100000001.0
bhS-5-001.qs,3480,0.23966557370553448,-18185142272.0,12100000001.0
bhS-5-002.qs,3480,0.23966557370553448,-19194216448.0,12100000001.0
bhS-5-003.qs,3480,0.23966557370553448,-19903938560.0,12100000001.0
bhS-5-004.qs,3480,0.23966557370553448,-22907371520.0,12100000001.0
bhS-5-005.qs,3480,0.23966557370553448,-27707908096.0,12100000001.0
bhS-5-006.qs,3480,0.23966557370553448,-19939622912.0,12100000001.0
bhS-5-007.qs,3480,0.23966557370553448,-31987056640.0,12100000001.0
bhS-5-008.qs,3480,0.23966557370553448,-29440581632.0,12100000001.0
bhS-5-009.qs,3480,0.23966557370553448,-26180419584.0,12100000001.0
bhS-5-010.qs,3480,0.23966557370553448,-30723235840.0,12100000001.0
bhD-6-001.qs,20880,0.2341577642767142,-84857708544.0,72100000001.0
bhD-6-002.qs,20880,0.2341577642767142,-73505546240.0,72100000001.0
bhD-6-003.qs,20880,0.2341577642767142,-59755372544.0,72100000001.0
bhD-6-004.qs,20880,0.2341577642767142,-59832156160.0,72100000001.0
bhD-6-005.qs,20880,0.2341577642767142,-65443266560.0,72100000001.0
bhD-6-006.qs,20880,0.2341577642767142,-60121571328.0,72100000001.0
bhD-6-007.qs,20880,0.2341577642767142,-55414145024.0,72100000001.0
bhD-6-008.qs,20880,0.2341577642767142,-61279232000.0,72100000001.0
bhD-6-009.qs,20880,0.2341577642767142,-94615134208.0,72100000001.0
bhD-6-010.qs,20880,0.2341577642767142,-53801689088.0,72100000001.0
bhD-5-001.qs,3480,0.23966557370553448,-18581635072.0,12100000001.0
bhD-5-002.qs,3480,0.23966557370553448,-11420975104.0,12100000001.0
bhD-5-003.qs,3480,0.23966557370553448,-15755632640.0,12100000001.0
bhD-5-004.qs,3480,0.23966557370553448,-11950292992.0,12100000001.0
bhD-5-005.qs,3480,0.23966557370553448,-12225855488.0,12100000001.0
bhD-5-006.qs,3480,0.23966557370553448,-12253609984.0,12100000001.0
bhD-5-007.qs,3480,0.23966557370553448,-14472978432.0,12100000001.0
bhD-5-008.qs,3480,0.23966557370553448,-11439808512.0,12100000001.0
bhD-5-009.qs,3480,0.23966557370553448,-14912094208.0,12100000001.0
bhD-5-010.qs,3480,0.23966557370553448,-12345794560.0,12100000001.0
bhS-3-001.qs,126,0.3607049118860142,-13346277.0,7000001.0
bhS-3-002.qs,126,0.3607049118860142,-14872935.0,7000001.0
bhS-3-003.qs,126,0.3607049118860142,-11018637.0,7000001.0
bhS-3-004.qs,126,0.3607049118860142,-7246491.0,7000001.0
bhS-3-005.qs,126,0.3607049118860142,-12921825.0,7000001.0
bhS-3-006.qs,126,0.3607049118860142,-13606425.0,7000001.0
bhS-3-007.qs,126,0.3607049118860142,-17412801.0,7000001.0
bhS-3-008.qs,126,0.3607049118860142,-12141381.0,7000001.0
bhS-3-009.qs,126,0.3607049118860142,-18275397.0,7000001.0
bhS-3-010.qs,126,0.3607049118860142,-13394199.0,7000001.0
bhD-3-001.qs,126,0.3607049118860142,-10197117.0,7000001.0
bhD-3-002.qs,126,0.3607049118860142,-6240129.0,7000001.0
bhD-3-003.qs,126,0.3607049118860142,-9368751.0,7000001.0
bhD-3-004.qs,126,0.3607049118860142,-8293929.0,7000001.0
bhD-3-005.qs,126,0.3607049118860142,-9231831.0,7000001.0
bhD-3-006.qs,126,0.3607049118860142,-11176095.0,7000001.0
bhD-3-007.qs,126,0.3607049118860142,-15119391.0,7000001.0
bhD-3-008.qs,126,0.3607049118860142,-9806895.0,7000001.0
bhD-3-009.qs,126,0.3607049118860142,-11032329.0,7000001.0
bhD-3-010.qs,126,0.3607049118860142,-14640171.0,7000001.0
bhS-4-001.qs,696,0.2660663929154505,-5596569600.0,2500000001.0
bhS-4-002.qs,696,0.2660663929154505,-5557248000.0,2500000001.0
bhS-4-003.qs,696,0.2660663929154505,-4433305600.0,2500000001.0
bhS-4-004.qs,696,0.2660663929154505,-5037260800.0,2500000001.0
bhS-4-005.qs,696,0.2660663929154505,-4970086400.0,2500000001.0
bhS-4-006.qs,696,0.2660663929154505,-4209459200.0,2500000001.0
bhS-4-007.qs,696,0.2660663929154505,-5402624000.0,2500000001.0
bhS-4-008.qs,696,0.2660663929154505,-4748083200.0,2500000001.0
bhS-4-009.qs,696,0.2660663929154505,-4766310400.0,2500000001.0
bhS-4-010.qs,696,0.2660663929154505,-5528576000.0,2500000001.0
bhD-4-001.qs,696,0.2660663929154505,-3627622400.0,2500000001.0
bhD-4-002.qs,696,0.2660663929154505,-2822144000.0,2500000001.0
bhD-4-003.qs,696,0.2660663929154505,-2535014400.0,2500000001.0
bhD-4-004.qs,696,0.2660663929154505,-3592806400.0,2500000001.0
bhD-4-005.qs,696,0.2660663929154505,-3454566400.0,2500000001.0
bhD-4-006.qs,696,0.2660663929154505,-3032883200.0,2500000001.0
bhD-4-007.qs,696,0.2660663929154505,-2974105600.0,2500000001.0
bhD-4-008.qs,696,0.2660663929154505,-2534604800.0,2500000001.0
bhD-4-009.qs,696,0.2660663929154505,-2945228800.0,2500000001.0
bhD-4-010.qs,696,0.2660663929154505,-2751692800.0,2500000001.0
