file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
stp_s020_l2_t3_h2_rs24098.lp,0,78372,0,78372,41117,0,41117,6.369743947874648e-05,-2.0,1.0
stp_s020_l2_t3_h3_rs97531.lp,0,95160,0,95160,50376,0,50376,5.1917274404172925e-05,-2.0,1.0
stp_s020_l2_t4_h0_rs24098.lp,0,99840,0,99840,46082,0,46082,5.842428046325446e-05,-3.0,1.0
stp_s020_l2_t4_h3_rs37235.lp,0,81664,0,81664,41822,0,41822,6.303772264271523e-05,-3.0,1.0
stp_s020_l3_t3_h2_rs24098.lp,0,211820,0,211820,116216,0,116216,2.212628701236122e-05,-2.0,1.0
stp_s020_l3_t4_h0_rs24098.lp,0,160160,0,160160,77210,0,77210,3.437179321132177e-05,-3.0,1.0
stp_s020_l3_t4_h2_rs97531.lp,0,132880,0,132880,66446,0,66446,3.967678470282088e-05,-3.0,1.0
stp_s020_l3_t4_h3_rs97531.lp,0,137540,0,137540,71960,0,71960,3.625202407134398e-05,-3.0,1.0
stp_s020_l4_t3_h3_rs97531.lp,0,240700,0,240700,121916,0,121916,2.1495863177699514e-05,-2.0,1.0
stp_s020_l4_t4_h0_rs24098.lp,0,245920,0,245920,110120,0,110120,2.4424765459623985e-05,-3.0,1.0
stp_s020_l4_t4_h3_rs37235.lp,0,179872,0,179872,89384,0,89384,2.9494804846098143e-05,-3.0,1.0
stp_s020_l5_t3_h3_rs24098.lp,0,317880,0,317880,156724,0,156724,1.6802361688913845e-05,-2.0,1.0
stp_s020_l5_t4_h0_rs24098.lp,0,313200,0,313200,139400,0,139400,1.9294513431949735e-05,-3.0,1.0
stp_s020_l5_t4_h3_rs24098.lp,0,370860,0,370860,158157,0,158157,1.716197015804368e-05,-3.0,1.0
stp_s030_l2_t3_h1_rs97531.lp,0,267654,0,267654,139615,0,139615,1.8715060887486672e-05,-2.0,1.0
stp_s030_l2_t3_h3_rs97531.lp,0,269696,0,269696,138692,0,138692,1.8926830675165116e-05,-2.0,1.0
stp_s030_l2_t4_h2_rs97531.lp,0,255240,0,255240,129336,0,129336,2.0360404940104328e-05,-3.0,1.0
stp_s030_l2_t5_h1_rs24098.lp,0,276288,0,276288,127706,0,127706,2.1044430175559488e-05,-4.0,1.0
stp_s030_l3_t3_h1_rs97531.lp,0,361764,0,361764,185216,0,185216,1.4120727234065175e-05,-2.0,1.0
stp_s030_l3_t3_h2_rs97531.lp,0,358488,0,358488,195048,0,195048,1.3211738017939568e-05,-2.0,1.0
stp_s030_l3_t4_h0_rs97531.lp,0,491400,0,491400,210875,0,210875,1.287153865695656e-05,-3.0,1.0
stp_s030_l3_t5_h1_rs24098.lp,0,473076,0,473076,217842,0,217842,1.2286292763724598e-05,-4.0,1.0
stp_s030_l4_t3_h1_rs97531.lp,0,499044,0,499044,253316,0,253316,1.0324593059201217e-05,-2.0,1.0
stp_s030_l4_t4_h0_rs97531.lp,0,676200,0,676200,302808,0,302808,8.869363708073386e-06,-3.0,1.0
stp_s030_l4_t4_h2_rs97531.lp,0,592410,0,592410,270531,0,270531,9.896904069547334e-06,-3.0,1.0
stp_s030_l5_t3_h1_rs97531.lp,0,636324,0,636324,321416,0,321416,8.137070386616147e-06,-2.0,1.0
stp_s030_l5_t4_h0_rs24098.lp,0,762600,0,762600,345231,0,345231,7.75544303622418e-06,-3.0,1.0
