file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
Addition_000_Medium.lp,0,3408,0,3408,1162,0,1162,0.008372019264179454,-1.0,1.0
Addition_003_Medium.lp,0,3408,0,3408,1358,0,1358,0.008775159548355425,-1.0,1.0
Addition_005_Medium.lp,0,3408,0,3408,1606,0,1606,0.009001053853214765,-1.0,1.0
Addition_007_Medium.lp,0,3408,0,3408,1711,0,1711,0.008806761276797744,-1.0,1.0
Addition_015_Medium.lp,0,3408,0,3408,1636,0,1636,0.008729998163389464,-1.0,1.0
Addition_016_Medium.lp,0,3408,0,3408,1609,0,1609,0.00894269178359988,-1.0,1.0
Addition_018_Medium.lp,0,3408,0,3408,1711,0,1711,0.008827169132072779,-1.0,1.0
Addition_020_Medium.lp,0,3408,0,3408,1710,0,1710,0.008997405485544847,-1.0,1.0
Addition_024_Medium.lp,0,3408,0,3408,1154,0,1154,0.008225116150397475,-1.0,1.0
Addition_025_Medium.lp,0,3408,0,3408,1125,0,1125,0.00847000521648409,-1.0,1.0
Addition_027_Medium.lp,0,3408,0,3408,1372,0,1372,0.008709356479010114,-1.0,1.0
Addition_028_Medium.lp,0,3408,0,3408,1661,0,1661,0.00872473451990288,-1.0,1.0
Addition_029_Medium.lp,0,3408,0,3408,1655,0,1655,0.008579954044508745,-1.0,1.0
Addition_030_Medium.lp,0,3408,0,3408,1689,0,1689,0.008975676637285723,-1.0,1.0
Addition_032_Medium.lp,0,3408,0,3408,1711,0,1711,0.008586562233325925,-1.0,1.0
Addition_034_Medium.lp,0,3408,0,3408,1712,0,1712,0.008685411730507657,-1.0,1.0
Addition_035_Medium.lp,0,3408,0,3408,1712,0,1712,0.008604170780132508,-1.0,1.0
Addition_043_Medium.lp,0,3408,0,3408,1615,0,1615,0.00868344743382898,-1.0,1.0
Addition_044_Medium.lp,0,3408,0,3408,1693,0,1693,0.008450808216101096,-1.0,1.0
Addition_046_Medium.lp,0,3408,0,3408,1592,0,1592,0.008868063911104819,-1.0,1.0
Addition_047_Medium.lp,0,3408,0,3408,1586,0,1586,0.00888755187704622,-1.0,1.0
Addition_048_Medium.lp,0,3408,0,3408,1712,0,1712,0.008722947106313895,-1.0,1.0
Addition_050_Medium.lp,0,3408,0,3408,1712,0,1712,0.00883709578342328,-1.0,1.0
Addition_052_Medium.lp,0,3408,0,3408,1710,0,1710,0.00883524833209785,-1.0,1.0
Addition_064_Medium.lp,0,3408,0,3408,1586,0,1586,0.008825758248524353,-1.0,1.0
Addition_066_Medium.lp,0,3408,0,3408,1731,0,1731,0.008601096275321872,-1.0,1.0
Addition_067_Medium.lp,0,3408,0,3408,1670,0,1670,0.008634140170363498,-1.0,1.0
Addition_068_Medium.lp,0,3408,0,3408,1710,0,1710,0.008799728193723747,-1.0,1.0
Addition_069_Medium.lp,0,3408,0,3408,1710,0,1710,0.00869574170167202,-1.0,1.0
Addition_070_Medium.lp,0,3408,0,3408,1712,0,1712,0.00874128630819183,-1.0,1.0
Addition_082_Medium.lp,0,3408,0,3408,1563,0,1563,0.0090053811888177,-1.0,1.0
Addition_083_Medium.lp,0,3408,0,3408,1629,0,1629,0.008709330877839165,-1.0,1.0
Addition_085_Medium.lp,0,3408,0,3408,1627,0,1627,0.00884988789528814,-1.0,1.0
Addition_090_Medium.lp,0,3408,0,3408,1668,0,1668,0.008925430078472433,-1.0,1.0
Addition_100_Medium.lp,0,3408,0,3408,1388,0,1388,0.008582535075969747,-1.0,1.0
Addition_104_Medium.lp,0,3408,0,3408,1457,0,1457,0.008764149757847013,-1.0,1.0
Addition_105_Medium.lp,0,3408,0,3408,1640,0,1640,0.008460365853658537,-1.0,1.0
Addition_107_Medium.lp,0,3408,0,3408,1669,0,1669,0.008426758875602326,-1.0,1.0
Addition_109_Medium.lp,0,3408,0,3408,1668,0,1668,0.008748634894900981,-1.0,1.0
Addition_110_Medium.lp,0,3408,0,3408,1668,0,1668,0.008970112642280542,-1.0,1.0
Addition_111_Medium.lp,0,3408,0,3408,1712,0,1712,0.008659359780176385,-1.0,1.0
Addition_128_Medium.lp,0,3408,0,3408,1704,0,1704,0.008652659304811655,-1.0,1.0
Addition_129_Medium.lp,0,3408,0,3408,1711,0,1711,0.008734905046879758,-1.0,1.0
Addition_130_Medium.lp,0,3408,0,3408,1668,0,1668,0.00905244114567501,-1.0,1.0
Addition_132_Medium.lp,0,3408,0,3408,1712,0,1712,0.008778136106357772,-1.0,1.0
Addition_133_Medium.lp,0,3408,0,3408,1711,0,1711,0.008801444944751305,-1.0,1.0
Addition_152_Medium.lp,0,3408,0,3408,1668,0,1668,0.00898225081906306,-1.0,1.0
Early_005_Medium.lp,0,3408,0,3408,1681,0,1681,0.008607838783643762,-1.0,1.0
Early_010_Medium.lp,0,3408,0,3408,1711,0,1711,0.008669394116501071,-1.0,1.0
Late_005_Medium.lp,0,3408,0,3408,1646,0,1646,0.008786772885184741,-1.0,1.0
Middle_002_Medium.lp,0,3408,0,3408,1710,0,1710,0.008750308870768471,-1.0,1.0
ITC2021_Early_01.lp,0,8128,480,8608,2364,0,2364,0.008618276627730707,-1.0,1.0
ITC2021_Early_02.lp,0,8128,480,8608,3225,0,3225,0.007787239560819573,-1.0,1.0
ITC2021_Early_03.lp,0,8128,480,8608,2443,0,2443,0.008370779421364737,-1.0,1.0
ITC2021_Early_04.lp,0,11592,0,11592,2468,0,2468,0.0033792446699394767,-1.0,1.0
ITC2021_Early_05.lp,0,11592,0,11592,3656,0,3656,0.003745603623112899,-1.0,1.0
ITC2021_Early_06.lp,0,11592,612,12204,4247,0,4247,0.006561093079218315,-1.0,1.0
ITC2021_Early_07.lp,0,11592,0,11592,2893,0,2893,0.0036799936163467327,-1.0,1.0
ITC2021_Early_08.lp,0,11592,612,12204,2822,0,2822,0.007748386106169138,-1.0,1.0
ITC2021_Early_09.lp,0,11592,612,12204,2848,0,2848,0.007710592447125459,-1.0,1.0
ITC2021_Early_10.lp,0,15920,0,15920,4532,0,4532,0.003024430958854289,-1.0,1.0
ITC2021_Early_11.lp,0,15920,0,15920,4341,0,4341,0.0030391099704928696,-1.0,1.0
ITC2021_Early_12.lp,0,15920,0,15920,4474,0,4474,0.0029610642618546467,-1.0,1.0
ITC2021_Early_13.lp,0,15920,0,15920,3480,0,3480,0.0028910717380003464,-1.0,1.0
ITC2021_Early_14.lp,0,15920,760,16680,3487,0,3487,0.0068473755552483735,-1.0,1.0
ITC2021_Early_15.lp,0,15920,760,16680,5043,0,5043,0.005823586223228437,-1.0,1.0
ITC2021_Late_01.lp,0,8128,480,8608,2839,0,2839,0.008121617578313742,-1.0,1.0
ITC2021_Late_02.lp,0,8128,0,8128,2818,0,2818,0.00473963776174536,-1.0,1.0
ITC2021_Late_03.lp,0,8128,480,8608,2732,0,2732,0.008171005758543926,-1.0,1.0
ITC2021_Late_04.lp,0,11592,0,11592,2402,0,2402,0.003242064784981919,-1.0,1.0
ITC2021_Late_05.lp,0,11592,612,12204,4243,0,4243,0.006569962765904442,-1.0,1.0
ITC2021_Late_06.lp,0,11592,0,11592,2462,0,2462,0.003386569016756563,-1.0,1.0
ITC2021_Late_07.lp,0,11592,0,11592,2845,0,2845,0.003524550596071953,-1.0,1.0
ITC2021_Late_08.lp,0,11592,0,11592,2416,0,2416,0.003225527481844067,-1.0,1.0
ITC2021_Late_09.lp,0,11592,612,12204,4004,0,4004,0.006691522178247842,-1.0,1.0
ITC2021_Late_10.lp,0,15920,0,15920,4529,0,4529,0.002983675276359719,-1.0,1.0
ITC2021_Late_11.lp,0,15920,760,16680,3664,0,3664,0.00666082854240625,-1.0,1.0
ITC2021_Late_12.lp,0,15920,0,15920,4339,0,4339,0.003030521934401206,-1.0,1.0
ITC2021_Late_13.lp,0,15920,760,16680,5025,0,5025,0.0058375269933307085,-1.0,1.0
ITC2021_Late_14.lp,0,15920,760,16680,4972,0,4972,0.005824306765368076,-1.0,1.0
ITC2021_Late_15.lp,0,15920,760,16680,3481,0,3481,0.006858506300389163,-1.0,1.0
ITC2021_Middle_01.lp,0,8128,0,8128,1942,0,1942,0.0044858347794707945,-1.0,1.0
ITC2021_Middle_02.lp,0,8128,0,8128,2938,0,2938,0.004714225221506944,-1.0,1.0
ITC2021_Middle_03.lp,0,8128,480,8608,3289,0,3289,0.007783527891213361,-1.0,1.0
ITC2021_Middle_04.lp,0,11592,0,11592,2974,0,2974,0.0034622003533731262,-1.0,1.0
ITC2021_Middle_05.lp,0,11592,612,12204,3064,0,3064,0.007317802535315648,-1.0,1.0
ITC2021_Middle_06.lp,0,11592,0,11592,3606,0,3606,0.003639288594616671,-1.0,1.0
ITC2021_Middle_07.lp,0,11592,0,11592,2874,0,2874,0.003608540528754743,-1.0,1.0
ITC2021_Middle_08.lp,0,11592,0,11592,3356,0,3356,0.0036739046121981294,-1.0,1.0
ITC2021_Middle_09.lp,0,11592,612,12204,3421,0,3421,0.007139564747054148,-1.0,1.0
ITC2021_Middle_10.lp,0,15920,0,15920,3046,0,3046,0.002701190621525223,-1.0,1.0
ITC2021_Middle_11.lp,0,15920,760,16680,5222,0,5222,0.0056910121079696945,-1.0,1.0
ITC2021_Middle_12.lp,0,15920,760,16680,4390,0,4390,0.0061028580324806216,-1.0,1.0
ITC2021_Middle_13.lp,0,15920,0,15920,3598,0,3598,0.0029338256038390956,-1.0,1.0
ITC2021_Middle_14.lp,0,15920,760,16680,4922,0,4922,0.005871913602803251,-1.0,1.0
ITC2021_Middle_15.lp,0,15920,0,15920,2765,0,2765,0.0026546384726525937,-1.0,1.0
Addition_000_NoSoft.lp,0,15920,0,15920,3020,0,3020,0.0027758827248826915,-1.0,1.0
Addition_003_NoSoft.lp,0,8128,0,8128,2376,0,2376,0.004679028639412498,-1.0,1.0
Addition_005_NoSoft.lp,0,11592,0,11592,3584,0,3584,0.003755452305469289,-1.0,1.0
Addition_007_NoSoft.lp,0,8128,0,8128,2937,0,2937,0.004743645425322856,-1.0,1.0
Addition_015_NoSoft.lp,0,8128,0,8128,2859,0,2859,0.00474435096517972,-1.0,1.0
Addition_016_NoSoft.lp,0,15920,0,15920,4433,0,4433,0.003029911003245417,-1.0,1.0
Addition_018_NoSoft.lp,0,15920,0,15920,4531,0,4531,0.003009225114759407,-1.0,1.0
Addition_020_NoSoft.lp,0,8128,0,8128,2937,0,2937,0.0047124372317352056,-1.0,1.0
Addition_024_NoSoft.lp,0,11592,0,11592,2459,0,2459,0.0034305536962148876,-1.0,1.0
Addition_025_NoSoft.lp,0,8128,0,8128,1935,0,1935,0.0045228539746485176,-1.0,1.0
Addition_027_NoSoft.lp,0,11592,0,11592,3017,0,3017,0.0036331389208563484,-1.0,1.0
Addition_028_NoSoft.lp,0,15920,0,15920,4485,0,4485,0.0030112239009988627,-1.0,1.0
Addition_029_NoSoft.lp,0,15920,0,15920,4478,0,4478,0.0030124803337814574,-1.0,1.0
Addition_030_NoSoft.lp,0,11592,0,11592,3667,0,3667,0.003710419323822058,-1.0,1.0
