file,num_variables,density,min_coeff,max_coeff
Addition_000_Medium.qs,4667,0.07226007910929609,-1152.0,208.0
Addition_000_NoSoft.qs,19099,0.029144334466676663,-5635.0,1120.0
Addition_000_Small.qs,1737,0.12329035750036603,-497.0,88.0
Addition_003_Medium.qs,5118,0.0603025866365648,-1343.0,272.0
Addition_003_NoSoft.qs,11077,0.03633447516516978,-3840.0,512.0
Addition_003_Small.qs,1880,0.10811530761138824,-675.0,120.0
Addition_005_Medium.qs,5604,0.05571832532006894,-1343.0,272.0
Addition_005_NoSoft.qs,16481,0.0274655806934242,-4224.0,608.0
Addition_005_Small.qs,2074,0.09153187484750962,-462.0,72.0
Addition_007_Medium.qs,5666,0.05487962305657858,-1152.0,208.0
Addition_007_NoSoft.qs,12049,0.03300208794724446,-4096.0,544.0
Addition_007_Small.qs,2098,0.0906946019508132,-451.0,88.0
Addition_015_Medium.qs,5605,0.054852724063010096,-1024.0,144.0
Addition_015_NoSoft.qs,11995,0.0321974352712541,-3712.0,512.0
Addition_015_Small.qs,2082,0.08462864144718486,-351.0,77.0
Addition_016_Medium.qs,5586,0.055183536585717535,-1152.0,208.0
Addition_016_NoSoft.qs,21961,0.024190858395184506,-4992.0,992.0
Addition_016_Small.qs,2063,0.08922713591631064,-378.0,77.0
Addition_018_Medium.qs,5655,0.05626943899391834,-1152.0,208.0
Addition_018_NoSoft.qs,22022,0.02443485770008042,-4992.0,992.0
Addition_018_Small.qs,2142,0.09073774166689541,-559.0,104.0
Addition_020_Medium.qs,5682,0.05730349375608648,-1152.0,208.0
Addition_020_NoSoft.qs,12036,0.032395143775839276,-3712.0,512.0
Addition_020_Small.qs,2118,0.0909804320013048,-675.0,120.0
Addition_024_Medium.qs,4648,0.06626524535285844,-1216.0,240.0
Addition_024_NoSoft.qs,14196,0.03334192515005363,-4352.0,672.0
Addition_024_Small.qs,1695,0.12433767462570268,-675.0,120.0
Addition_025_Medium.qs,4622,0.07049283149844442,-1216.0,240.0
