file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
bqp_a010_t10_q0.000001_b004.lp,0,690,1,691,20,1,21,0.06935018947385024,-241.0,110.5
bqp_a010_t10_q0.00001_b004.lp,0,690,1,691,20,1,21,0.07815155542060828,-1109.0,1109.0
bqp_a010_t10_q0.00005_b004.lp,0,690,1,691,20,1,21,0.07900330051223003,-5546.0,5546.0
bqp_a010_t10_q0.0001_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-11092.5,11092.5
bqp_a010_t10_q0.0005_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-55463.0,55463.0
bqp_a010_t10_q0.001_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-110926.5,110926.5
bqp_a010_t10_q0.01_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-1109266.5,1109266.5
bqp_a010_t10_q0_b004.lp,0,690,1,691,20,1,21,0.006983521098435707,-241.0,16.0
bqp_a050_t10_q0.000001_b020.lp,0,3090,1,3091,20,1,21,0.05531529563669314,-239.5,33.0
bqp_a050_t10_q0.00001_b020.lp,0,3090,1,3091,20,1,21,0.0903756030900176,-331.0,331.0
bqp_a050_t10_q0.00005_b020.lp,0,3090,1,3091,20,1,21,0.09403238956502781,-1655.5,1655.5
bqp_a050_t10_q0.0001_b020.lp,0,3090,1,3091,20,1,21,0.09441887919246791,-3311.0,3311.0
bqp_a050_t10_q0.0005_b020.lp,0,3090,1,3091,20,1,21,0.09489455873393265,-16555.5,16555.5
bqp_a050_t10_q0.001_b020.lp,0,3090,1,3091,20,1,21,0.09491685621243881,-33111.5,33111.5
bqp_a050_t10_q0.01_b020.lp,0,3090,1,3091,20,1,21,0.09496888366228652,-331116.5,331116.5
bqp_a050_t10_q0_b020.lp,0,3090,1,3091,20,1,21,0.0017530360184796548,-239.5,16.0
bqp_a010_t10_q0.000001_b004.lp,0,690,1,691,20,1,21,0.07048584959601258,-291.0,174.0
bqp_a010_t10_q0.00001_b004.lp,0,690,1,691,20,1,21,0.07857742796641916,-1744.5,1744.5
bqp_a010_t10_q0.00005_b004.lp,0,690,1,691,20,1,21,0.07900330051223003,-8723.0,8723.0
bqp_a010_t10_q0.0001_b004.lp,0,690,1,691,20,1,21,0.07900330051223003,-17446.5,17446.5
bqp_a010_t10_q0.0005_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-87232.5,87232.5
bqp_a010_t10_q0.001_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-174465.0,174465.0
bqp_a010_t10_q0.01_b004.lp,0,690,1,691,20,1,21,0.07914525802750033,-1744653.5,1744653.5
bqp_a010_t10_q0_b004.lp,0,690,1,691,20,1,21,0.006983521098435707,-291.0,16.0
bqp_a050_t15_q0.000001_b020.lp,0,4635,1,4636,30,1,31,0.04448581114591047,-244.5,39.0
bqp_a050_t15_q0.00001_b020.lp,0,4635,1,4636,30,1,31,0.06138750355526969,-393.5,393.5
bqp_a050_t15_q0.00005_b020.lp,0,4635,1,4636,30,1,31,0.06304004982610623,-1967.5,1967.5
bqp_a050_t15_q0.0001_b020.lp,0,4635,1,4636,30,1,31,0.0632152197308149,-3935.5,3935.5
bqp_a050_t15_q0.0005_b020.lp,0,4635,1,4636,30,1,31,0.06333420306231513,-19677.5,19677.5
bqp_a050_t15_q0.001_b020.lp,0,4635,1,4636,30,1,31,0.06335072852502349,-39355.0,39355.0
