file,num_variables,density,min_coeff,max_coeff
uqo_a400_t10_q0.000001_b100.qs,24090,0.05998679181343315,-29440000000.0,1280000000.0
uqo_a400_t10_q0.00001_b100.qs,24090,0.0938277496635276,-29440000000.0,1280000000.0
uqo_a400_t10_q0.00005_b100.qs,24090,0.09883969249775727,-29440000000.0,1280000000.0
uqo_a400_t10_q0.0001_b100.qs,24090,0.09946962033519681,-29440000000.0,1280000000.0
uqo_a400_t10_q0.0005_b100.qs,24090,0.09997288026086366,-29440000000.0,1280000000.0
uqo_a400_t10_q0.0005_b100.qs,24090,0.09997288026086366,-29440000000.0,1280000000.0
uqo_a400_t10_q0.001_b100.qs,24090,0.100034601402986,-29440000000.0,1280000000.0
uqo_a400_t10_q0.01_b100.qs,24090,0.10009501988783742,-29440000000.0,1280000000.0
uqo_a400_t10_q0_b100.qs,24090,0.05047779693913105,-29440000000.0,1280000000.0
uqo_a200_t10_q0.000001_b050.qs,12090,0.05778858270741063,-13440000000.0,1280000000.0
uqo_a200_t10_q0.00001_b050.qs,12090,0.09128998943016835,-13440000000.0,1280000000.0
uqo_a200_t10_q0.00005_b050.qs,12090,0.09839984473956423,-13440000000.0,1280000000.0
uqo_a200_t10_q0.0001_b050.qs,12090,0.0993204072316502,-13440000000.0,1280000000.0
uqo_a200_t10_q0.0005_b050.qs,12090,0.10003631819058383,-13440000000.0,1280000000.0
uqo_a200_t10_q0.001_b050.qs,12090,0.10011758775248547,-13440000000.0,1280000000.0
uqo_a200_t10_q0.01_b050.qs,12090,0.100195655786191,-13440000000.0,1280000000.0
uqo_a200_t10_q0_b050.qs,12090,0.05094876398778795,-13440000000.0,1280000000.0
uqo_a050_t10_q0.000001_b020.qs,3090,0.059879030780457726,-3840000000.0,1280000000.0
uqo_a050_t10_q0.00001_b020.qs,3090,0.09172092692114804,-3840000000.0,1280000000.0
uqo_a050_t10_q0.00005_b020.qs,3090,0.09911602637995894,-3840000000.0,1280000000.0
uqo_a050_t10_q0.0001_b020.qs,3090,0.10000177988292558,-3840000000.0,1280000000.0
uqo_a050_t10_q0.0005_b020.qs,3090,0.10059353860618415,-3840000000.0,1280000000.0
uqo_a050_t10_q0.001_b020.qs,3090,0.10068022937455962,-3840000000.0,1280000000.0
uqo_a050_t10_q0.01_b020.qs,3090,0.1007443051598806,-3840000000.0,1280000000.0
uqo_a050_t10_q0_b020.qs,3090,0.053637295457424676,-3840000000.0,1280000000.0
uqo_a400_t15_q0.000001_b100.qs,36135,0.039952711278539735,-29440000000.0,1280000000.0
uqo_a400_t15_q0.00001_b100.qs,36135,0.06253575234851448,-29440000000.0,1280000000.0
uqo_a400_t15_q0.00005_b100.qs,36135,0.06588948645001728,-29440000000.0,1280000000.0
uqo_a400_t15_q0.0001_b100.qs,36135,0.06631546816404023,-29440000000.0,1280000000.0
uqo_a400_t15_q0.0005_b100.qs,36135,0.06665322636600093,-29440000000.0,1280000000.0
uqo_a400_t15_q0.001_b100.qs,36135,0.06669469141667018,-29440000000.0,1280000000.0
uqo_a400_t15_q0.01_b100.qs,36135,0.06673472283526842,-29440000000.0,1280000000.0
uqo_a400_t15_q0_b100.qs,36135,0.033656006233726325,-29440000000.0,1280000000.0
uqo_a200_t15_q0.000001_b050.qs,18135,0.036706505356276974,-13440000000.0,1280000000.0
uqo_a200_t15_q0.00001_b050.qs,18135,0.06096080236339496,-13440000000.0,1280000000.0
uqo_a200_t15_q0.00005_b050.qs,18135,0.0656565065055752,-13440000000.0,1280000000.0
uqo_a200_t15_q0.0001_b050.qs,18135,0.06623750411831861,-13440000000.0,1280000000.0
uqo_a200_t15_q0.0005_b050.qs,18135,0.06669930308745284,-13440000000.0,1280000000.0
uqo_a200_t15_q0.001_b050.qs,18135,0.06675600179947264,-13440000000.0,1280000000.0
uqo_a200_t15_q0.01_b050.qs,18135,0.06680591417916575,-13440000000.0,1280000000.0
uqo_a200_t15_q0_b050.qs,18135,0.03397407621051203,-13440000000.0,1280000000.0
uqo_a010_t10_q0.000001_b004.qs,690,0.08982570943182533,-960000080.0,1280000000.0
uqo_a010_t10_q0.00001_b004.qs,690,0.10032089599194614,-960000080.0,1280000000.0
uqo_a010_t10_q0.00005_b004.qs,690,0.10220851947398225,-960000080.0,1280000000.0
uqo_a010_t10_q0.0001_b004.qs,690,0.10243503429182658,-960000080.0,1280000000.0
