file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
C125.9.lp,0,125,0,125,787,0,787,0.016,1.0,1.0
C4000-5.lp,0,4000,0,4000,3997732,0,3997732,0.0005,1.0,1.0
C500.9.lp,0,500,0,500,12418,0,12418,0.004,1.0,1.0
R_1000_005_1.lp,0,1000,0,1000,24670,0,24670,0.002,1.0,1.0
R_500_005_1.lp,0,500,0,500,6256,0,6256,0.004,1.0,1.0
aves-sparrow-social.lp,0,52,0,52,462,0,462,0.038461538461538464,1.0,1.0
brock200_2.lp,0,200,0,200,10024,0,10024,0.01,1.0,1.0
brock400_1.lp,0,400,0,400,20077,0,20077,0.005,1.0,1.0
brock800_1.lp,0,800,0,800,112095,0,112095,0.0025,1.0,1.0
chesapeake.lp,0,39,0,39,170,0,170,0.05128205128205128,1.0,1.0
es60fst01.lp,0,123,0,123,159,0,159,0.016260162601626018,1.0,1.0
es60fst02.lp,0,186,0,186,280,0,280,0.010752688172043012,1.0,1.0
es60fst03.lp,0,113,0,113,142,0,142,0.017699115044247787,1.0,1.0
es60fst04.lp,0,162,0,162,238,0,238,0.012345679012345678,1.0,1.0
farm.lp,0,17,0,17,39,0,39,0.11764705882352941,1.0,1.0
football.lp,0,35,0,35,118,0,118,0.05714285714285714,1.0,1.0
frb100-40.lp,0,4000,0,4000,572774,0,572774,0.0005,1.0,1.0
frb45-21-3.lp,0,945,0,945,58245,0,58245,0.0021164021164021165,1.0,1.0
frb50-23-3.lp,0,1150,0,1150,81068,0,81068,0.0017391304347826088,1.0,1.0
frb53-24-1.lp,0,1272,0,1272,94227,0,94227,0.0015723270440251573,1.0,1.0
frb59-26-2.lp,0,1534,0,1534,126163,0,126163,0.001303780964797914,1.0,1.0
gen200_p0-9_44.lp,0,200,0,200,1990,0,1990,0.01,1.0,1.0
hamming10-4.lp,0,1024,0,1024,89600,0,89600,0.001953125,1.0,1.0
ibm32.lp,0,32,0,32,94,0,94,0.0625,1.0,1.0
insecta-ant-colony1-day38.lp,0,56,0,56,1134,0,1134,0.03571428571428571,1.0,1.0
insecta-ant-colony3-day09.lp,0,160,0,160,8883,0,8883,0.0125,1.0,1.0
karate.lp,0,34,0,34,78,0,78,0.058823529411764705,1.0,1.0
keller4.lp,0,171,0,171,5100,0,5100,0.011695906432748537,1.0,1.0
keller6.lp,0,3361,0,3361,1026582,0,1026582,0.0005950609937518596,1.0,1.0
mammalia-kangaroo-interactions.lp,0,17,0,17,91,0,91,0.11764705882352941,1.0,1.0
p_hat1500-1.lp,0,1500,0,1500,839327,0,839327,0.0013333333333333333,1.0,1.0
p_hat1500-3.lp,0,1500,0,1500,277006,0,277006,0.0013333333333333333,1.0,1.0
sloane_1dc_128.lp,0,128,0,128,1471,0,1471,0.015625,1.0,1.0
sloane_1dc_64.lp,0,64,0,64,543,0,543,0.03125,1.0,1.0
sloane_1zc_128.lp,0,128,0,128,2240,0,2240,0.015625,1.0,1.0
sloane_2dc_128.lp,0,128,0,128,5173,0,5173,0.015625,1.0,1.0
socfb-haverford76.lp,0,1446,0,1446,59589,0,59589,0.0013831258644536654,1.0,1.0
socfb-trinity100.lp,0,2613,0,2613,111996,0,111996,0.0007654037504783774,1.0,1.0
sorrell4.lp,0,2048,0,2048,504451,0,504451,0.0009765625,1.0,1.0
sorrell7.lp,0,2048,0,2048,39424,0,39424,0.0009765625,1.0,1.0
