file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
C125.9.lp,0,125,1,126,0,1,1,0.09696074812353882,-2.0,-1.0
C4000-5.lp,0,4000,1,4001,0,1,1,0.49909263443379914,-2.0,-1.0
C500.9.lp,0,500,1,501,0,1,1,0.09836675854639927,-2.0,-1.0
R_1000_005_1.lp,0,1000,1,1001,0,1,1,0.04909632200468854,-2.0,-1.0
R_500_005_1.lp,0,500,1,501,0,1,1,0.049559610936856444,-2.0,-1.0
aves-sparrow-social.lp,0,52,1,53,0,1,1,0.30660377358490565,-4.0,-1.0
brock200_2.lp,0,200,1,201,0,1,1,0.4889766852014438,-2.0,-1.0
brock400_1.lp,0,400,1,401,0,1,1,0.24787042295251968,-2.0,-1.0
brock800_1.lp,0,800,1,801,0,1,1,0.3481220613536562,-2.0,-1.0
chesapeake.lp,0,39,1,40,0,1,1,0.19883720930232557,-2.0,-1.0
es60fst01.lp,0,123,1,124,0,1,1,0.02032004064008128,-2.0,-1.0
es60fst02.lp,0,186,1,187,0,1,1,0.015817618913594147,-2.0,-1.0
es60fst03.lp,0,113,1,114,0,1,1,0.021442495126705652,-2.0,-1.0
es60fst04.lp,0,162,1,163,0,1,1,0.01766575504471875,-2.0,-1.0
farm.lp,0,17,1,18,0,1,1,0.21164021164021163,-2.0,-1.0
football.lp,0,35,1,36,0,1,1,0.16951566951566951,-2.0,-1.0
frb100-40.lp,0,4000,1,4001,0,1,1,0.07150747278215411,-2.0,-1.0
frb45-21-3.lp,0,945,1,946,0,1,1,0.12975937729043813,-2.0,-1.0
frb50-23-3.lp,0,1150,1,1151,0,1,1,0.12206852002704302,-2.0,-1.0
frb53-24-1.lp,0,1272,1,1273,0,1,1,0.11601947365958526,-2.0,-1.0
frb59-26-2.lp,0,1534,1,1535,0,1,1,0.10688105454437634,-2.0,-1.0
gen200_p0-9_44.lp,0,200,1,201,0,1,1,0.09711247683152863,-2.0,-1.0
hamming10-4.lp,0,1024,1,1025,0,1,1,0.17006927968112365,-2.0,-1.0
ibm32.lp,0,32,1,33,0,1,1,0.1531986531986532,-4.0,-1.0
insecta-ant-colony1-day38.lp,0,56,1,57,0,1,1,0.6637426900584795,-2.0,-1.0
insecta-ant-colony3-day09.lp,0,160,1,161,0,1,1,0.6729283441902743,-2.0,-1.0
karate.lp,0,34,1,35,0,1,1,0.11879699248120301,-2.0,-1.0
keller4.lp,0,171,1,172,0,1,1,0.33893687707641196,-2.0,-1.0
keller6.lp,0,3361,1,3362,0,1,1,0.18148522999382133,-2.0,-1.0
mammalia-kangaroo-interactions.lp,0,17,1,18,0,1,1,0.48677248677248675,-2.0,-1.0
p_hat1500-1.lp,0,1500,1,1501,0,1,1,0.743589380129559,-2.0,-1.0
p_hat1500-3.lp,0,1500,1,1501,0,1,1,0.24540997491034347,-2.0,-1.0
sloane_1dc_128.lp,0,128,1,129,0,1,1,0.1728917077754287,-2.0,-1.0
sloane_1dc_64.lp,0,64,1,65,0,1,1,0.24615384615384617,-2.0,-1.0
sloane_1zc_128.lp,0,128,1,129,0,1,1,0.1316654921306084,-4.0,-1.0
sloane_2dc_128.lp,0,128,1,129,0,1,1,0.6077049565421658,-2.0,-1.0
socfb-haverford76.lp,0,1446,1,1447,0,1,1,0.056802421180563833,-2.0,-1.0
socfb-trinity100.lp,0,2613,1,2614,0,1,1,0.032743649242972864,-2.0,-1.0
sorrell4.lp,0,2048,1,2049,0,1,1,0.23995540067564933,-2.0,-1.0
sorrell7.lp,0,2048,1,2049,0,1,1,0.018753502160041936,-2.0,-1.0
