file,num_variables,density,min_coeff,max_coeff
C125.9.qs,125,0.1158095238095238,-1.0,1.0
C4000-5.qs,4000,0.5000914771307173,-1.0,1.0
C500.9.qs,500,0.1031377245508982,-1.0,1.0
R_1000_005_1.qs,1000,0.05128871128871129,-1.0,1.0
R_500_005_1.qs,500,0.05394011976047904,-1.0,1.0
aves-sparrow-social.qs,52,0.3671988388969521,-1.0,2.0
brock200_2.qs,200,0.5086567164179104,-1.0,1.0
brock400_1.qs,400,0.2553241895261845,-1.0,1.0
brock800_1.qs,800,0.35235642946317103,-1.0,1.0
chesapeake.qs,39,0.26794871794871794,-1.0,1.0
es60fst01.qs,123,0.03697875688434304,-1.0,1.0
es60fst02.qs,186,0.02679546892070611,-1.0,1.0
es60fst03.qs,113,0.03959012575687005,-1.0,1.0
es60fst04.qs,162,0.030296144815572218,-1.0,1.0
farm.qs,17,0.3660130718954248,-1.0,1.0
football.qs,35,0.24285714285714285,-1.0,1.0
frb100-40.qs,4000,0.07207873031742064,-1.0,1.0
frb45-21-3.qs,945,0.1324205510252022,-1.0,1.0
frb50-23-3.qs,1150,0.12422921467155215,-1.0,1.0
frb53-24-1.qs,1272,0.1179541715454505,-1.0,1.0
frb59-26-2.qs,1534,0.10846183574058581,-1.0,1.0
gen200_p0-9_44.qs,200,0.10895522388059702,-1.0,1.0
hamming10-4.qs,1024,0.17268292682926828,-1.0,1.0
ibm32.qs,32,0.23106060606060605,-1.0,2.0
insecta-ant-colony1-day38.qs,56,0.7456140350877193,-1.0,1.0
insecta-ant-colony3-day09.qs,160,0.7020962732919255,-1.0,1.0
karate.qs,34,0.18823529411764706,-1.0,1.0
keller4.qs,171,0.3584251325989392,-1.0,1.0
keller6.qs,3361,0.18229592655793322,-1.0,1.0
mammalia-kangaroo-interactions.qs,17,0.7058823529411765,-1.0,1.0
p_hat1500-1.qs,1500,0.746903841883189,-1.0,1.0
p_hat1500-3.qs,1500,0.24739595825005553,-1.0,1.0
sloane_1dc_128.qs,128,0.19367732558139536,-1.0,1.0
sloane_1dc_64.qs,64,0.2918269230769231,-1.0,1.0
sloane_1zc_128.qs,128,0.1511627906976744,-1.0,2.0
sloane_2dc_128.qs,128,0.642078488372093,-1.0,1.0
socfb-haverford76.qs,1446,0.05834076512572872,-1.0,1.0
socfb-trinity100.qs,2613,0.03355859159853724,-1.0,1.0
sorrell4.qs,2048,0.24139967285871156,-1.0,1.0
sorrell7.qs,2048,0.019765739385065886,-1.0,1.0
