    | 1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24|
|1  | 0, 24, 43, 23, 21, 41, 61, 21, 20,  0,  0,  0,  0,  0, 40,  0,  0,  0,  0,  0, 24, 19, 23,  0|
|2  | 0,  0,  0,  0, 21, 18, 39, 23,  0,  0, 40, 19, 64, 19, 17, 64, 80,  0,  0, 22, 24, 18, 19,  0|
|3  |16,  0,  0, 20, 44,  0, 42, 22, 20,  0,  0, 23, 21,  0, 40, 21, 38, 97, 22, 17, 20, 37, 17, 20|
|4  |42, 20, 18,  0, 40, 57, 43, 42,  0,  0, 19, 17,  0, 39,  0,  0, 22, 41,  0,  0, 17, 42, 40, 43|
|5  | 0,  0,  0, 40,  0, 83, 60,  0, 44,  0, 37, 60,  0, 40,  0,  0, 40, 19,  0, 39, 41, 17,  0,  0|
|6  |60, 18,  0, 37, 18,  0, 21, 41, 23, 39,  0, 63, 60, 39,  0, 19,  0, 16, 16,  0,  0, 40,  0, 16|
|7  |22,  0,  0,  0,  0,  0,  0, 61, 36, 80, 96, 19, 19, 41, 16,  0,  0,  0, 22,  0, 43,  0, 44, 22|
|8  | 0,  0, 20, 19, 17, 20, 40,  0,  0, 60, 61,  0, 20, 62, 20,  0,  0, 38,  0,  0,  0,  0, 24, 22|
|9  |21, 22, 38,  0, 44, 20, 40, 39,  0, 36, 22, 21, 19, 39, 19,  0,  0, 21, 24, 16, 23, 21, 37,  0|
|10 | 0, 24, 23, 39, 20,  0,  0, 41,  0,  0,  0, 22,  0,  0, 44, 42, 22, 42, 22, 19, 20, 58, 18,  0|
|11 |60, 57,  0,  0, 16,  0, 16, 37,  0,  0,  0, 44, 63,  0, 18,  0, 17, 18,  0,  0,  0,100, 24, 23|
|12 | 0, 44, 44,  0, 23, 17, 39, 21,  0, 17, 40,  0, 24, 78, 17, 24, 20, 18,  0, 24, 24,  0, 20,  0|
|13 |23, 16,  0,  0,  0, 23,  0,  0,  0,  0, 43, 58,  0,  0, 24, 60,  0,  0, 19,  0, 21,  0, 20,  0|
|14 |44, 20,  0, 19, 21,  0, 39, 19,  0,  0,  0, 39, 22,  0,  0, 64, 24, 22,  0, 39,  0, 43, 42, 16|
|15 | 0, 60, 37, 18,  0,  0,  0, 20,  0, 41, 43, 16, 43, 24,  0,  0, 18, 18,  0, 44, 20,  0, 21, 37|
|16 | 0,  0, 23, 39,  0, 24, 40,  0, 37,  0, 40, 20, 44, 43,  0,  0,  0,  0,  0, 16,  0, 59,  0,  0|
|17 | 0, 42,  0,  0, 23, 24, 38, 19, 36,  0, 20, 60, 57,  0, 23, 40,  0,  0,  0, 16, 42,  0, 23,  0|
|18 | 0, 41, 36, 43, 23, 41, 17,  0, 38,  0,  0, 21, 21, 17, 16, 16, 39,  0, 22,  0, 21, 23, 16, 23|
|19 |17,  0, 23, 23, 20,  0, 17, 58, 17,  0, 20,  0, 17, 24,  0,  0, 17, 42,  0, 58, 19, 22,  0, 24|
|20 |42,  0, 16,  0, 43,  0, 24, 36,  0, 16, 24, 41, 41,  0, 24,  0,  0,  0,  0,  0, 56, 38, 63, 19|
|21 |37, 23, 23,  0, 42, 16, 23, 76, 23,  0,  0, 24, 20, 41, 20, 24, 40, 23,  0,  0,  0, 39, 20,  0|
|22 |43, 20, 17, 17,  0, 20, 19,  0, 80,  0,  0,  0, 40,  0, 40, 16, 19,  0,  0,  0, 18,  0, 17,  0|
|23 |18, 20, 44, 40, 21, 18,  0, 20,  0,  0, 16, 24,  0,  0, 19, 18,  0, 17, 23,  0, 23, 44,  0, 42|
|24 |44,  0,  0,  0, 62,  0, 17, 41,  0,  0,  0, 63,  0, 37, 22,  0, 20,  0,  0, 19, 57, 18, 38,  0|
