file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
network05.lp,0,101,0,101,130,0,130,0.03351104341203351,-1000000.0,1.0
network06.lp,0,181,0,181,222,0,222,0.020158279826788115,-1000000.0,1.0
network07.lp,0,295,0,295,350,0,350,0.013016949152542373,-1000000.0,1.0
network08.lp,0,449,0,449,520,0,520,0.008874421792016448,-1000000.0,1.0
network09.lp,0,649,0,649,738,0,738,0.006313653275207637,-1000000.0,1.0
network10.lp,0,901,0,901,1010,0,1010,0.004648300568125625,-1000000.0,1.0
network11.lp,0,1211,0,1211,1342,0,1342,0.0035196491180571536,-1000000.0,1.0
network12.lp,0,1585,0,1585,1740,0,1740,0.002728162732513869,-1000000.0,1.0
network13.lp,0,2029,0,2029,2210,0,2210,0.0021569593830632304,-1000000.0,1.0
network14.lp,0,2549,0,2549,2758,0,2758,0.0017345311090444545,-1000000.0,1.0
network15.lp,0,3151,0,3151,3390,0,3390,0.0014154798448589153,-1000000.0,1.0
network16.lp,0,3841,0,3841,4112,0,4112,0.001170050357751761,-1000000.0,1.0
network17.lp,0,4625,0,4625,4930,0,4930,0.0009781919850885368,-1000000.0,1.0
network18.lp,0,5509,0,5509,5850,0,5850,0.0008260608514738121,-1000000.0,1.0
network19.lp,0,6499,0,6499,6878,0,6878,0.0007038906963162204,-1000000.0,1.0
network20.lp,0,7601,0,7601,8020,0,8020,0.0006046585942721147,-1000000.0,1.0
network21.lp,0,8821,0,8821,9282,0,9282,0.000523226914792497,-1000000.0,1.0
network22.lp,0,10165,0,10165,10670,0,10670,0.0004557786218122626,-1000000.0,1.0
network23.lp,0,11639,0,11639,12190,0,12190,0.00039943780425926497,-1000000.0,1.0
network24.lp,0,13249,0,13249,13848,0,13848,0.0003520098243574316,-1000000.0,1.0
