file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
XSH-n20-k4-01.lp,0,441,0,441,483,0,483,0.011558522649915729,-331.0,1.0
XSH-n20-k4-02.lp,0,441,0,441,483,0,483,0.011558522649915729,-288.0,1.0
XSH-n20-k4-03.lp,0,441,0,441,483,0,483,0.011558522649915729,-379.0,1.0
XSH-n20-k4-04.lp,0,441,0,441,483,0,483,0.011558522649915729,-399.0,1.0
XSH-n20-k4-05.lp,0,441,0,441,483,0,483,0.011558522649915729,-367.0,1.0
XSH-n20-k4-06.lp,0,441,0,441,483,0,483,0.011558522649915729,-292.0,1.0
XSH-n20-k4-07.lp,0,441,0,441,483,0,483,0.011558522649915729,-309.0,1.0
XSH-n20-k4-08.lp,0,441,0,441,483,0,483,0.011558522649915729,-277.0,1.0
XSH-n20-k4-09.lp,0,441,0,441,483,0,483,0.011558522649915729,-277.0,1.0
XSH-n20-k4-10.lp,0,441,0,441,483,0,483,0.011558522649915729,-337.0,1.0
XSH-n20-k4-11.lp,0,441,0,441,483,0,483,0.011558522649915729,-350.0,1.0
XSH-n20-k4-12.lp,0,441,0,441,483,0,483,0.011558522649915729,-344.0,1.0
XSH-n20-k4-13.lp,0,441,0,441,483,0,483,0.011558522649915729,-289.0,1.0
XSH-n20-k4-14.lp,0,441,0,441,483,0,483,0.011558522649915729,-367.0,1.0
XSH-n20-k4-15.lp,0,441,0,441,483,0,483,0.011558522649915729,-356.0,1.0
XSH-n20-k4-16.lp,0,441,0,441,483,0,483,0.011558522649915729,-325.0,1.0
XSH-n20-k4-17.lp,0,441,0,441,483,0,483,0.011558522649915729,-339.0,1.0
XSH-n20-k4-18.lp,0,441,0,441,483,0,483,0.011558522649915729,-353.0,1.0
XSH-n20-k4-19.lp,0,441,0,441,483,0,483,0.011558522649915729,-364.0,1.0
XSH-n20-k4-20.lp,0,441,0,441,483,0,483,0.011558522649915729,-372.0,1.0
XSH-n20-k4-21.lp,0,441,0,441,483,0,483,0.011558522649915729,-370.0,1.0
XSH-n20-k4-22.lp,0,441,0,441,483,0,483,0.011558522649915729,-350.0,1.0
XSH-n20-k4-23.lp,0,441,0,441,483,0,483,0.011558522649915729,-357.0,1.0
XSH-n20-k4-24.lp,0,441,0,441,483,0,483,0.011558522649915729,-303.0,1.0
XSH-n20-k4-25.lp,0,441,0,441,483,0,483,0.011558522649915729,-332.0,1.0
XSH-n20-k4-26.lp,0,441,0,441,483,0,483,0.011558522649915729,-398.0,1.0
XSH-n20-k4-27.lp,0,441,0,441,483,0,483,0.011558522649915729,-337.0,1.0
XSH-n20-k4-28.lp,0,441,0,441,483,0,483,0.011558522649915729,-304.0,1.0
XSH-n20-k4-29.lp,0,441,0,441,483,0,483,0.011558522649915729,-317.0,1.0
XSH-n20-k4-30.lp,0,441,0,441,483,0,483,0.011558522649915729,-358.0,1.0
XSH-n20-k4-31.lp,0,441,0,441,483,0,483,0.011558522649915729,-356.0,1.0
XSH-n20-k4-32.lp,0,441,0,441,483,0,483,0.011558522649915729,-296.0,1.0
XSH-n20-k4-33.lp,0,441,0,441,483,0,483,0.011558522649915729,-352.0,1.0
XSH-n20-k4-34.lp,0,441,0,441,483,0,483,0.011558522649915729,-358.0,1.0
XSH-n20-k4-35.lp,0,441,0,441,483,0,483,0.011558522649915729,-379.0,1.0
XSH-n20-k4-36.lp,0,441,0,441,483,0,483,0.011558522649915729,-321.0,1.0
XSH-n20-k4-37.lp,0,441,0,441,483,0,483,0.011558522649915729,-337.0,1.0
XSH-n20-k4-38.lp,0,441,0,441,483,0,483,0.011558522649915729,-321.0,1.0
XSH-n20-k4-39.lp,0,441,0,441,483,0,483,0.011558522649915729,-333.0,1.0
XSH-n20-k4-40.lp,0,441,0,441,483,0,483,0.011558522649915729,-334.0,1.0
XSH-n20-k4-41.lp,0,441,0,441,483,0,483,0.011558522649915729,-343.0,1.0
XSH-n20-k4-42.lp,0,441,0,441,483,0,483,0.011558522649915729,-330.0,1.0
XSH-n20-k4-43.lp,0,441,0,441,483,0,483,0.011558522649915729,-340.0,1.0
XSH-n20-k4-44.lp,0,441,0,441,483,0,483,0.011558522649915729,-333.0,1.0
XSH-n20-k4-45.lp,0,441,0,441,483,0,483,0.011558522649915729,-376.0,1.0
XSH-n20-k4-46.lp,0,441,0,441,483,0,483,0.011558522649915729,-311.0,1.0
XSH-n20-k4-47.lp,0,441,0,441,483,0,483,0.011558522649915729,-362.0,1.0
XSH-n20-k4-48.lp,0,441,0,441,483,0,483,0.011558522649915729,-315.0,1.0
XSH-n20-k4-49.lp,0,441,0,441,483,0,483,0.011558522649915729,-325.0,1.0
XSH-n20-k4-50.lp,0,441,0,441,483,0,483,0.011558522649915729,-343.0,1.0
XSH-n20-k4-51.lp,0,441,0,441,483,0,483,0.011558522649915729,-322.0,1.0
XSH-n20-k4-52.lp,0,441,0,441,483,0,483,0.011558522649915729,-303.0,1.0
XSH-n20-k4-53.lp,0,441,0,441,483,0,483,0.011558522649915729,-378.0,1.0
XSH-n20-k4-54.lp,0,441,0,441,483,0,483,0.011558522649915729,-298.0,1.0
XSH-n20-k4-55.lp,0,441,0,441,483,0,483,0.011558522649915729,-383.0,1.0
