file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
topology_15_3.lp,0,22155,106,22261,23850,0,23850,0.00020864534783030027,-1.0,1.0
topology_15_4.lp,0,22155,106,22261,23850,0,23850,0.00020864534783030027,-1.0,1.0
topology_20_3.lp,0,72390,191,72581,76400,0,76400,6.527280479775944e-05,-1.0,1.0
topology_20_4.lp,0,72390,191,72581,76400,0,76400,6.527280479775944e-05,-1.0,1.0
topology_20_5.lp,0,72390,191,72581,76400,0,76400,6.527280479775944e-05,-1.0,1.0
topology_25_3.lp,0,180300,301,180601,188125,0,188125,2.653377654649249e-05,-1.0,1.0
topology_25_4.lp,0,180300,301,180601,188125,0,188125,2.653377654649249e-05,-1.0,1.0
topology_25_5.lp,0,180300,301,180601,188125,0,188125,2.653377654649249e-05,-1.0,1.0
topology_25_6.lp,0,180300,301,180601,188125,0,188125,2.653377654649249e-05,-1.0,1.0
topology_30_4.lp,0,378885,436,379321,392400,0,392400,1.2727453844837686e-05,-1.0,1.0
topology_30_5.lp,0,378885,436,379321,392400,0,392400,1.2727453844837686e-05,-1.0,1.0
topology_30_6.lp,0,378885,436,379321,392400,0,392400,1.2727453844837686e-05,-1.0,1.0
topology_35_5.lp,0,708645,596,709241,730100,0,730100,6.842622004180145e-06,-1.0,1.0
topology_35_6.lp,0,708645,596,709241,730100,0,730100,6.842622004180145e-06,-1.0,1.0
topology_40_6.lp,0,1217580,781,1218361,1249600,0,1249600,3.998715488496767e-06,-1.0,1.0
topology_50_4.lp,0,3002475,1226,3003701,3065000,0,3065000,1.6306555250743566e-06,-1.0,1.0
