file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
topology_15_3.lp,0,3046,0,3046,5790,0,5790,0.0008335062717094363,-1.0,1.0
topology_15_4.lp,0,1576,0,1576,2955,0,2955,0.0016233347934757401,-1.0,1.0
topology_20_3.lp,0,11021,0,11021,21300,0,21300,0.0002290548176698944,-1.0,1.0
topology_20_4.lp,0,7411,0,7411,14270,0,14270,0.00034135511550899213,-1.0,1.0
topology_20_5.lp,0,3801,0,3801,7240,0,7240,0.0006697132624302125,-1.0,1.0
topology_25_3.lp,0,65101,0,65101,127225,0,127225,3.861164816292271e-05,-1.0,1.0
topology_25_4.lp,0,43501,0,43501,84925,0,84925,5.7818450970748715e-05,-1.0,1.0
topology_25_5.lp,0,36301,0,36301,70825,0,70825,6.93110579054313e-05,-1.0,1.0
topology_25_6.lp,0,7501,0,7501,14425,0,14425,0.00033825645893083696,-1.0,1.0
topology_30_4.lp,0,88741,0,88741,174030,0,174030,2.8307849641313758e-05,-1.0,1.0
topology_30_5.lp,0,76126,0,76126,149235,0,149235,3.300599444472065e-05,-1.0,1.0
topology_30_6.lp,0,50896,0,50896,99645,0,99645,4.940519037490352e-05,-1.0,1.0
topology_35_5.lp,0,142206,0,142206,279685,0,279685,1.7652729945494267e-05,-1.0,1.0
topology_35_6.lp,0,81516,0,81516,160090,0,160090,3.082170052837599e-05,-1.0,1.0
topology_40_6.lp,0,365821,0,365821,721540,0,721540,6.855727435450775e-06,-1.0,1.0
topology_50_4.lp,0,421401,0,421401,833050,0,833050,5.949683196842445e-06,-1.0,1.0
