file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
topology_15_3.lp,0,316,0,316,120,210,330,0.00035585379492654163,-1.0,1.0
topology_15_4.lp,0,211,0,211,120,105,225,0.0008764955204818221,-1.0,1.0
topology_20_3.lp,0,761,0,761,210,570,780,7.675150028683839e-05,-1.0,1.0
topology_20_4.lp,0,571,0,571,210,380,590,0.00014007943497661683,-1.0,1.0
topology_20_5.lp,0,381,0,381,210,190,400,0.00033979808124965575,-1.0,1.0
topology_25_3.lp,0,3001,0,3001,325,2700,3025,5.86629253961497e-06,-1.0,1.0
topology_25_4.lp,0,2101,0,2101,325,1800,2125,1.2062918903314555e-05,-1.0,1.0
topology_25_5.lp,0,1801,0,1801,325,1500,1825,1.6493401670036925e-05,-1.0,1.0
topology_25_6.lp,0,601,0,601,325,300,625,0.00016469663565947507,-1.0,1.0
topology_30_4.lp,0,3481,0,3481,465,3045,3510,5.205997913618965e-06,-1.0,1.0
topology_30_5.lp,0,3046,0,3046,465,2610,3075,6.818585207077661e-06,-1.0,1.0
topology_30_6.lp,0,2176,0,2176,465,1740,2205,1.3494516805559368e-05,-1.0,1.0
topology_35_5.lp,0,4761,0,4761,630,4165,4795,3.2245893049104043e-06,-1.0,1.0
topology_35_6.lp,0,2976,0,2976,630,2380,3010,8.345476067350565e-06,-1.0,1.0
topology_40_6.lp,0,10141,0,10141,820,9360,10180,8.035869984367242e-07,-1.0,1.0
topology_50_4.lp,0,9801,0,9801,1275,8575,9850,1.0733770192513104e-06,-1.0,1.0
